windowNumber,session,lowCutoff,highCutoff,error,polarHR,calculatedHR
1,adaptation,5,30,11.413961038961048,69.625,81.03896103896105
2,adaptation,5,15,21.07267441860465,69.625,90.69767441860465
3,adaptation,5,15,21.19767441860465,69.5,90.69767441860465
4,adaptation,5,15,23.057692307692307,69.25,92.3076923076923
5,adaptation,5,15,21.72727272727272,69.0,47.27272727272728
6,adaptation,5,35,19.435374149659864,69.0,88.43537414965986
7,adaptation,5,20,6.733870967741936,68.75,75.48387096774194
8,adaptation,5,30,7.4312865497076,68.25,60.8187134502924
9,adaptation,5,30,23.745601173020532,67.75,91.49560117302053
10,adaptation,5,30,20.041666666666657,66.625,86.66666666666666
11,adaptation,5,20,9.046782762691862,64.625,73.67178276269186
12,adaptation,5,35,27.78595890410959,62.625,90.41095890410959
13,adaptation,5,25,21.494397011739593,61.75,83.2443970117396
14,adaptation,5,40,11.161764705882362,62.25,73.41176470588236
15,adaptation,5,30,3.7748911860718124,64.125,67.89989118607181
16,adaptation,5,20,0.7979825517993362,67.25,68.04798255179934
17,adaptation,5,15,6.516891891891902,69.375,75.8918918918919
18,adaptation,5,15,3.2071881606765373,71.0,74.20718816067654
19,adaptation,5,30,0.75,72.375,73.125
20,adaptation,5,35,0.24465240641710295,72.75,72.9946524064171
21,adaptation,5,40,2.1828793774319166,73.0,70.81712062256808
22,adaptation,5,40,3.10628342245991,72.625,69.51871657754009
23,adaptation,5,40,4.554347826086968,71.75,76.30434782608697
24,adaptation,5,15,1.210659898477175,70.5,69.28934010152282
25,adaptation,5,15,4.2721962616822395,68.625,72.89719626168224
26,adaptation,5,20,7.455213903743314,67.625,75.08021390374331
27,adaptation,5,35,6.322384066587389,67.875,74.19738406658739
28,adaptation,5,25,1.615029910269186,68.375,69.99002991026919
29,adaptation,5,25,0.2997237569060758,69.25,68.95027624309392
30,adaptation,5,40,0.07097186700768532,69.75,69.82097186700769
31,adaptation,5,20,0.8911290322580641,69.875,70.76612903225806
32,adaptation,5,25,0.3931992337164729,70.125,69.73180076628353
33,adaptation,5,25,2.7905405405405332,70.25,67.45945945945947
34,adaptation,5,25,7.017857142857139,70.125,77.14285714285714
35,adaptation,5,30,2.4722222222222285,69.75,72.22222222222223
36,adaptation,5,30,7.142857142857139,70.0,77.14285714285714
37,adaptation,5,20,6.594311377245518,71.25,77.84431137724552
38,adaptation,5,15,0.75,72.75,72.0
39,adaptation,5,20,1.5862068965517295,74.0,72.41379310344827
40,adaptation,5,35,2.2777777777777857,74.5,72.22222222222221
41,adaptation,5,40,2.815366972477065,74.375,71.55963302752293
42,adaptation,5,25,2.6375545851528415,74.0,76.63755458515284
43,adaptation,5,40,9.177469135802468,73.375,64.19753086419753
44,adaptation,5,15,10.258959044368595,72.375,62.116040955631405
45,adaptation,5,40,10.907550077041599,71.0,60.0924499229584
