windowNumber,session,lowCutoff,highCutoff,error,polarHR,calculatedHR
1,adaptation,5,15,8.059876210979539,83.625,75.56512378902046
2,adaptation,5,15,0.9953560371517085,79.5,80.49535603715171
3,adaptation,5,15,0.8915562913907138,78.375,77.48344370860929
4,adaptation,5,15,3.5531115879828405,78.875,75.32188841201716
5,adaptation,5,40,7.065366972477065,78.625,71.55963302752293
6,adaptation,5,15,6.9659090909090935,77.875,70.9090909090909
7,adaptation,5,30,2.9038461538461604,76.75,73.84615384615384
8,adaptation,5,15,0.18487621097955298,75.75,75.56512378902045
9,adaptation,5,35,1.0957446808510554,75.5,76.59574468085106
10,adaptation,5,20,0.34756097560975263,75.75,76.09756097560975
11,adaptation,5,25,1.8054862842892732,76.0,77.80548628428927
12,adaptation,5,30,3.4321793416571893,76.25,79.68217934165719
13,adaptation,5,30,0.5710196292257308,77.125,76.55398037077427
14,adaptation,5,15,4.451923076923066,78.625,83.07692307692307
15,adaptation,5,15,0.20455715756952486,80.125,80.32955715756952
16,adaptation,5,25,5.021844660194176,80.75,75.72815533980582
17,adaptation,5,15,7.06903765690376,80.5,73.43096234309624
18,adaptation,5,25,4.863079019073581,79.25,74.38692098092642
19,adaptation,5,15,5.404343329886245,78.0,72.59565667011375
20,adaptation,5,35,4.18786464410735,77.0,72.81213535589265
21,adaptation,5,25,7.011075949367083,76.125,69.11392405063292
22,adaptation,5,15,5.4043296089385535,75.125,69.72067039106145
23,adaptation,5,20,6.561084142394819,73.875,67.31391585760518
24,adaptation,5,20,4.2775330396475795,73.0,68.72246696035242
25,adaptation,5,15,2.6666666666666714,72.0,69.33333333333333
26,adaptation,5,15,1.7013422818791923,71.5,69.79865771812081
27,adaptation,5,25,0.6227003942181284,71.125,71.74770039421813
28,adaptation,5,40,0.23287671232877472,71.0,71.23287671232877
29,adaptation,5,25,0.12462006079026366,71.0,71.12462006079026
30,adaptation,5,15,2.877729257641917,71.0,68.12227074235808
31,adaptation,5,15,2.578947368421055,71.0,68.42105263157895
32,adaptation,5,30,2.7720694645441455,70.5,67.72793053545585
33,adaptation,5,20,0.6071428571428612,70.25,69.64285714285714
34,adaptation,5,15,1.2328767123287605,70.0,71.23287671232876
35,adaptation,5,25,1.6227003942181568,70.125,71.74770039421816
36,adaptation,5,25,3.749255065554223,70.625,74.37425506555422
37,adaptation,5,35,2.859263657957243,71.25,74.10926365795724
38,adaptation,5,15,3.9740259740259916,72.0,75.97402597402599
39,adaptation,5,15,2.8965517241379217,72.75,75.64655172413792
40,adaptation,5,15,2.5563380281690087,73.5,76.05633802816901
41,adaptation,5,20,1.7668918918919019,74.125,75.8918918918919
42,adaptation,5,15,0.3750000000000142,74.625,75.00000000000001
43,adaptation,5,15,0.1599147121535225,75.0,74.84008528784648
44,adaptation,5,15,0.035599571734479696,75.125,75.16059957173448
45,adaptation,5,40,1.428980370774255,75.125,76.55398037077425
46,adaptation,5,30,2.471424384525193,75.625,73.15357561547481
47,adaptation,5,30,0.1322620519159301,77.0,77.13226205191593
48,adaptation,5,15,1.8059392265193424,79.375,77.56906077348066
49,adaptation,5,25,0.13600628930817038,81.625,81.76100628930817
50,adaptation,5,25,2.5428644763860433,82.625,80.08213552361396
51,adaptation,5,20,2.613013698630141,82.75,80.13698630136986
52,adaptation,5,35,2.054633867276891,82.375,80.32036613272311
53,adaptation,5,20,2.338235294117638,81.75,79.41176470588236
54,adaptation,5,20,4.357142857142861,81.5,77.14285714285714
55,adaptation,5,25,4.654411764705884,81.125,76.47058823529412
56,adaptation,5,20,6.722338204592887,80.0,73.27766179540711
57,adaptation,5,25,8.929028132992315,78.75,69.82097186700769
58,adaptation,5,15,9.278888280394298,77.625,68.3461117196057
59,adaptation,5,30,5.981115107913681,76.125,70.14388489208632
60,adaptation,5,35,7.548832923832933,74.625,67.07616707616707
61,adaptation,5,40,6.142487046632127,73.5,67.35751295336787
62,adaptation,5,20,5.420134638922889,72.25,66.82986536107711
63,adaptation,5,20,2.250827814569533,71.125,68.87417218543047
64,adaptation,5,20,0.8578767123287605,70.375,71.23287671232876
65,adaptation,5,15,1.6816743383199082,70.125,71.80667433831991
66,adaptation,5,15,2.5221962616822253,70.375,72.89719626168223
67,adaptation,5,30,0.9290281329923147,70.75,69.82097186700769
68,adaptation,5,15,1.6071428571428612,71.25,69.64285714285714
69,adaptation,5,15,0.7297297297297263,71.0,70.27027027027027
70,adaptation,5,30,0.6846330275229491,70.875,71.55963302752295
71,adaptation,5,20,1.6211139896373084,71.125,72.74611398963731
72,adaptation,5,20,0.5566743383199082,71.25,71.80667433831991
73,adaptation,5,35,1.1161060802069755,71.75,70.63389391979302
74,adaptation,5,15,1.558773903262093,71.75,70.1912260967379
75,adaptation,5,40,0.03403141361256701,71.5,71.46596858638743
76,adaptation,5,20,1.9309623430962404,71.5,73.43096234309624
77,adaptation,5,20,2.897292993630572,71.625,74.52229299363057
78,adaptation,5,20,1.8476027397260282,72.125,73.97260273972603
79,adaptation,5,35,0.24465240641710295,72.75,72.9946524064171
80,adaptation,5,20,0.23943661971830466,73.0,73.2394366197183
81,adaptation,5,15,1.3182661717921604,73.125,74.44326617179216
82,adaptation,5,20,3.4302516411378434,73.375,76.80525164113784
83,adaptation,5,25,3.5443548387096797,73.875,77.41935483870968
84,adaptation,5,25,2.412037037037038,74.625,77.03703703703704
85,adaptation,5,20,1.6186440677966232,75.5,77.11864406779662
86,adaptation,5,30,3.3788860103626916,76.125,72.74611398963731
87,adaptation,5,25,0.05817782656423276,77.0,77.05817782656423
88,adaptation,5,25,3.5774312896406,78.875,82.4524312896406
89,adaptation,5,20,8.976900739176344,81.625,90.60190073917634
90,adaptation,5,35,3.8103741496598644,84.625,88.43537414965986
91,adaptation,5,15,0.8798024149286476,86.5,85.62019758507135
92,adaptation,5,20,4.634635691657863,87.0,82.36536430834214
93,adaptation,5,30,3.9235948477751776,86.125,82.20140515222482
94,adaptation,5,30,4.794344473007712,85.0,80.20565552699229
95,adaptation,5,35,6.134136212624583,83.875,77.74086378737542
