windowNumber,session,lowCutoff,highCutoff,error,polarHR,calculatedHR
1,adaptation,5,25,2.5439189189189193,83.625,81.08108108108108
2,adaptation,5,15,1.8246073298429337,83.5,81.67539267015707
3,adaptation,5,15,0.6558807733619858,83.125,83.78088077336199
4,adaptation,5,15,0.7808807733619716,83.0,83.78088077336197
5,adaptation,5,25,1.7770663562281754,83.5,81.72293364377182
6,adaptation,5,20,5.805939226519328,83.375,77.56906077348067
7,adaptation,5,40,6.195652173913047,82.5,76.30434782608695
8,adaptation,5,25,4.140182799251193,81.44444444444444,77.30426164519325
9,adaptation,5,15,0.49830124575311174,80.0,79.50169875424689
10,adaptation,5,20,0.5806555269922882,79.625,80.20565552699229
11,adaptation,5,15,1.9253926701570805,79.75,81.67539267015708
12,adaptation,5,20,2.164682539682545,80.375,82.53968253968254
13,adaptation,5,30,2.0898345153664337,80.88888888888889,82.97872340425532
14,adaptation,5,30,2.828313253012041,81.75,84.57831325301204
15,adaptation,5,40,3.4378453038674053,82.75,86.1878453038674
16,adaptation,5,15,2.1835808580858043,83.625,85.8085808580858
17,adaptation,5,20,0.37903225806451246,84.25,83.87096774193549
18,adaptation,5,40,3.25,84.5,81.25
19,adaptation,5,15,2.5402763295098936,83.875,81.3347236704901
20,adaptation,5,20,1.2022274325908597,83.5,82.29777256740914
21,adaptation,5,25,0.5221927162367308,83.375,82.85280728376327
22,adaptation,5,20,3.837121212121204,82.625,78.7878787878788
23,adaptation,5,25,0.2389937106918154,82.0,81.76100628930818
24,adaptation,5,20,6.135593220338976,80.5,74.36440677966102
25,adaptation,5,20,3.309876210979553,78.875,75.56512378902045
26,adaptation,5,35,0.9927379480840557,78.125,77.13226205191594
27,adaptation,5,25,0.5222772277227676,77.75,77.22772277227723
28,adaptation,5,40,1.7125912408759234,77.625,75.91240875912408
29,adaptation,5,25,0.946019629225745,77.5,76.55398037077425
30,adaptation,5,15,0.022277227722767634,77.25,77.22772277227723
31,adaptation,5,15,0.06277533039647665,77.25,77.31277533039648
32,adaptation,5,20,0.19680851063829152,77.25,77.44680851063829
33,adaptation,5,40,1.449551569506724,77.25,78.69955156950672
34,adaptation,5,40,3.629702194357364,77.875,81.50470219435736
35,adaptation,5,15,3.004702194357364,78.5,81.50470219435736
36,adaptation,5,35,0.11544585987262224,79.375,79.49044585987262
37,adaptation,5,20,2.172949002217308,80.0,77.82705099778269
38,adaptation,5,40,4.103448275862064,79.75,75.64655172413794
39,adaptation,5,15,1.9821428571428612,79.125,77.14285714285714
40,adaptation,5,35,2.279411764705884,78.75,76.47058823529412
41,adaptation,5,15,0.33657047724750555,78.25,77.9134295227525
42,adaptation,5,15,1.2283464566929183,78.0,76.77165354330708
43,adaptation,5,20,0.38413621262459685,78.125,77.7408637873754
44,adaptation,5,15,2.5800426894343644,77.5,74.91995731056564
45,adaptation,5,20,5.723346636259976,76.875,71.15165336374002
46,adaptation,5,20,2.7517667844523004,76.25,73.4982332155477
47,adaptation,5,25,1.053980370774255,75.5,76.55398037077425
48,adaptation,5,15,0.8043478260869534,75.5,76.30434782608695
49,adaptation,5,25,0.803980370774255,75.75,76.55398037077425
50,adaptation,5,25,1.5115961800818667,76.0,74.48840381991813
51,adaptation,5,40,0.8394004282655203,76.0,75.16059957173448
52,adaptation,5,40,2.5894206549118337,76.0,78.58942065491183
53,adaptation,5,15,3.7453560371517085,76.75,80.49535603715171
54,adaptation,5,15,3.183852140077832,77.75,80.93385214007783
55,adaptation,5,30,1.375,78.625,80.0
56,adaptation,5,15,0.26749492900609084,79.375,79.10750507099391
57,adaptation,5,15,0.0684865900383187,79.625,79.69348659003832
58,adaptation,5,20,0.9453661327231089,79.375,80.32036613272311
59,adaptation,5,20,0.2760681586978535,79.625,79.34893184130215
60,adaptation,5,20,1.0790155440414395,79.75,80.82901554404144
61,adaptation,5,15,0.32955715756952486,80.0,80.32955715756952
62,adaptation,5,25,1.8844339622641542,80.375,78.49056603773585
63,adaptation,5,20,3.194748358862128,80.0,76.80525164113787
64,adaptation,5,25,3.2376224156692075,79.625,76.38737758433079
65,adaptation,5,25,0.2375158027812887,79.125,78.88748419721871
66,adaptation,5,15,3.2473718791064385,78.75,81.99737187910644
67,adaptation,5,20,1.6218847352024994,79.375,80.9968847352025
68,adaptation,5,25,1.5503926701570805,80.125,81.67539267015708
69,adaptation,5,15,7.0570843091334865,80.125,73.06791569086651
70,adaptation,5,25,8.465909090909093,79.375,70.9090909090909
71,adaptation,5,20,5.651132404181183,78.125,72.47386759581882
72,adaptation,5,20,1.4785886610373922,76.75,75.27141133896261
73,adaptation,5,15,0.22149837133549966,76.0,76.2214983713355
74,adaptation,5,15,0.6034482758620783,76.25,75.64655172413792
75,adaptation,5,20,0.09558823529413019,76.375,76.47058823529413
76,adaptation,5,15,3.5038860103626916,76.25,72.74611398963731
77,adaptation,5,15,3.360208816705338,75.75,72.38979118329466
78,adaptation,5,20,2.5293433298862453,75.125,72.59565667011375
79,adaptation,5,30,0.6913507109004797,74.625,73.93364928909952
80,adaptation,5,25,1.3788860103626916,74.125,72.74611398963731
81,adaptation,5,20,0.7114093959731491,74.0,73.28859060402685
82,adaptation,5,25,0.14635231316725594,73.875,74.02135231316726
83,adaptation,5,20,1.1699573105656356,73.75,74.91995731056564
84,adaptation,5,15,0.8376436781609158,73.875,74.71264367816092
85,adaptation,5,25,1.6418918918919019,74.25,75.8918918918919
86,adaptation,5,40,0.9534461910519951,74.5,75.453446191052
87,adaptation,5,25,1.4404761904761898,74.75,76.19047619047619
88,adaptation,5,15,3.537878787878782,75.25,78.78787878787878
89,adaptation,5,25,3.0570843091334865,76.125,73.06791569086651
90,adaptation,5,35,7.682639649507109,77.75,85.43263964950711
91,adaptation,5,15,6.153083700440547,79.75,85.90308370044055
92,adaptation,5,30,2.3709677419354875,81.5,83.87096774193549
93,adaptation,5,20,0.15801886792453956,82.625,82.78301886792454
94,adaptation,5,15,0.6346356916578628,83.0,82.36536430834214
95,adaptation,5,30,1.8126443418013878,82.875,81.06235565819861
96,adaptation,5,20,3.356820744081162,82.5,79.14317925591884
97,adaptation,5,15,1.9178644763860433,82.0,80.08213552361396
98,adaptation,5,15,1.125,81.125,80.0
99,adaptation,5,15,0.060344827586206407,80.75,80.6896551724138
100,adaptation,5,20,0.2040155440414395,80.625,80.82901554404144
101,adaptation,5,15,0.28242174062606296,80.77777777777777,80.49535603715171
102,adaptation,5,15,1.1917808219178028,81.0,82.1917808219178
103,adaptation,5,35,1.8003554502369639,81.375,83.17535545023696
104,adaptation,5,30,3.5263157894736707,82.0,85.52631578947367
105,adaptation,5,15,2.903083700440547,83.0,85.90308370044055
106,adaptation,5,20,1.4225687103593998,83.875,82.4524312896406
107,adaptation,5,15,3.462628865979383,83.875,80.41237113402062
108,adaptation,5,20,5.278531524341574,83.71428571428571,78.43575418994413
109,adaptation,5,25,2.170442842430475,82.5,80.32955715756952
110,adaptation,5,20,0.3529411764705941,82.0,82.3529411764706
111,adaptation,5,20,0.6864849187934823,82.125,81.43851508120652
