windowNumber,session,lowCutoff,highCutoff,error,polarHR,calculatedHR
1,adaptation,5,30,2.7367511520737366,87.125,89.86175115207374
2,adaptation,5,30,3.514705882352942,88.25,91.76470588235294
3,adaptation,5,15,2.4350858369098773,89.625,92.06008583690988
4,adaptation,5,30,0.13776102088166908,90.625,90.48723897911833
5,adaptation,5,30,5.586729622266404,90.875,85.2882703777336
6,adaptation,5,30,7.116379310344826,89.875,82.75862068965517
7,adaptation,5,20,8.326864147088884,88.0,79.67313585291112
8,adaptation,5,15,5.628086419753089,85.875,80.24691358024691
9,adaptation,5,40,1.410259809119836,84.125,82.71474019088016
10,adaptation,5,35,0.09705707491082194,83.375,83.47205707491082
11,adaptation,5,25,0.27127659574468055,83.25,82.97872340425532
12,adaptation,5,25,1.0485948477751776,83.25,82.20140515222482
13,adaptation,5,25,0.1306029882604065,83.375,83.2443970117396
14,adaptation,5,25,0.9405537459283408,83.75,84.69055374592834
15,adaptation,5,15,5.663544668587889,84.25,89.91354466858789
16,adaptation,5,20,4.560344827586206,85.25,80.6896551724138
17,adaptation,5,20,8.428191489361708,85.875,77.44680851063829
18,adaptation,5,20,4.125000000000014,85.875,90.00000000000001
19,adaptation,5,30,0.7245011086474449,85.75,86.47450110864744
20,adaptation,5,40,2.460220838052095,85.875,88.3352208380521
21,adaptation,5,25,0.4300911854103333,86.5,86.93009118541033
22,adaptation,5,35,1.0559290953545144,86.875,85.81907090464549
23,adaptation,5,25,4.13381316098706,86.625,82.49118683901294
24,adaptation,5,30,4.967491369390103,85.75,80.7825086306099
25,adaptation,5,35,2.910041841004187,84.5,81.58995815899581
26,adaptation,5,20,1.4349781897491738,83.625,85.05997818974917
27,adaptation,5,15,1.7537425149700567,83.875,85.62874251497006
28,adaptation,5,30,1.8128453038674195,84.375,86.18784530386742
29,adaptation,5,20,0.8392857142857082,84.875,85.71428571428571
30,adaptation,5,20,0.9013015184381885,85.5,84.59869848156181
31,adaptation,5,30,0.8423913043478137,85.625,84.78260869565219
32,adaptation,5,15,1.5040322580645125,85.375,83.87096774193549
33,adaptation,5,20,0.43444625407165915,85.125,84.69055374592834
34,adaptation,5,15,0.005952380952379599,85.125,85.11904761904762
35,adaptation,5,15,0.2141684901531704,85.125,85.33916849015317
36,adaptation,5,15,1.3441192266380284,85.125,83.78088077336197
37,adaptation,5,40,2.3728813559321935,85.0,82.6271186440678
38,adaptation,5,15,0.15760869565217206,84.625,84.78260869565217
39,adaptation,5,20,2.3421052631579045,84.5,86.8421052631579
40,adaptation,5,15,2.2838250254323498,85.0,87.28382502543235
41,adaptation,5,30,1.1096881959910974,85.75,86.8596881959911
42,adaptation,5,35,0.15728476821192316,86.25,86.09271523178808
43,adaptation,5,25,0.7759433962263955,86.625,85.8490566037736
44,adaptation,5,30,4.783968850698173,87.375,92.15896885069817
45,adaptation,5,25,1.6798780487804805,88.875,87.19512195121952
46,adaptation,5,35,3.5454545454545467,91.0,94.54545454545455
47,adaptation,5,20,0.2676264800861077,92.625,92.35737351991389
48,adaptation,5,20,4.26279863481227,93.0,88.73720136518773
49,adaptation,5,25,0.45689655172414234,92.0,92.45689655172414
50,adaptation,5,20,1.0880829015544151,90.0,88.91191709844558
51,adaptation,5,20,8.39249492900609,87.5,79.10750507099391
52,adaptation,5,35,6.660579345088166,85.25,78.58942065491183
53,adaptation,5,20,4.791624621594352,83.5,78.70837537840565
54,adaptation,5,20,3.5642458100558656,82.0,78.43575418994413
55,adaptation,5,20,1.7132352941176379,81.125,79.41176470588236
56,adaptation,5,30,0.07901554404143951,80.75,80.82901554404144
57,adaptation,5,40,0.6249999999999858,80.625,81.24999999999999
58,adaptation,5,20,0.21885813148787747,80.75,80.96885813148788
59,adaptation,5,20,0.3381592554291757,81.0,80.66184074457082
60,adaptation,5,20,0.003115264797500572,81.0,80.9968847352025
61,adaptation,5,15,1.1917808219178028,81.0,82.1917808219178
62,adaptation,5,25,3.1988188976377927,81.25,84.44881889763779
63,adaptation,5,20,3.184978189749188,81.875,85.05997818974919
64,adaptation,5,15,1.1558807733619574,82.625,83.78088077336196
65,adaptation,5,35,1.5746073298429337,83.25,81.67539267015707
66,adaptation,5,15,4.070945945945937,83.125,79.05405405405406
67,adaptation,5,15,2.989296636085612,82.5,79.51070336391439
68,adaptation,5,15,1.667864476386029,81.75,80.08213552361397
69,adaptation,5,15,0.019343302990904476,81.125,81.1443433029909
70,adaptation,5,20,0.4196242171190079,81.0,81.41962421711901
71,adaptation,5,40,0.9802631578947398,81.125,82.10526315789474
72,adaptation,5,35,1.6037234042553052,81.375,82.9787234042553
73,adaptation,5,25,2.805337756332932,81.875,84.68033775633293
74,adaptation,5,15,2.065553745928341,82.625,84.69055374592834
75,adaptation,5,15,1.3486984815618115,83.25,84.59869848156181
76,adaptation,5,25,0.5237094837935103,83.75,84.27370948379351
77,adaptation,5,25,0.25,84.125,84.375
78,adaptation,5,15,1.3392857142857082,84.375,85.71428571428571
79,adaptation,5,15,0.2763015184381885,84.875,84.59869848156181
80,adaptation,5,30,1.4658634538152597,85.0,83.53413654618474
81,adaptation,5,15,2.9496073298429195,84.625,81.67539267015708
82,adaptation,5,15,1.672568710359414,84.125,82.45243128964059
83,adaptation,5,15,0.8820422535211208,83.625,84.50704225352112
84,adaptation,5,30,1.4535749751737939,83.75,85.2035749751738
85,adaptation,5,30,0.5326086956521721,84.25,84.78260869565217
86,adaptation,5,15,0.059446254071659155,84.75,84.69055374592834
87,adaptation,5,15,0.1251360174102274,85.0,84.87486398258977
88,adaptation,5,15,0.3391684901531704,85.0,85.33916849015317
89,adaptation,5,20,0.48475609756097526,85.125,85.60975609756098
90,adaptation,5,35,0.07100938967136017,85.375,85.44600938967136
91,adaptation,5,25,0.19236035049287636,85.625,85.43263964950712
92,adaptation,5,30,0.26524390243902474,85.875,85.60975609756098
93,adaptation,5,30,0.13496932515336368,86.0,86.13496932515336
94,adaptation,5,30,1.8855932203389898,86.25,88.13559322033899
95,adaptation,5,20,3.9186507936507695,86.875,90.79365079365077
96,adaptation,5,35,3.639705882352928,88.125,91.76470588235293
97,adaptation,5,15,1.4186507936508121,89.375,90.79365079365081
98,adaptation,5,15,2.8858695652173765,90.375,93.26086956521738
99,adaptation,5,35,1.3232484076433195,90.75,89.42675159235668
100,adaptation,5,20,3.611929922135687,90.375,86.76307007786431
101,adaptation,5,15,4.898465703971112,89.375,84.47653429602889
102,adaptation,5,35,4.8443496801705805,88.0,83.15565031982942
103,adaptation,5,15,2.4256756756756914,86.75,84.32432432432431
104,adaptation,5,35,0.40818584070795794,85.875,86.28318584070796
105,adaptation,5,15,1.143255578093303,85.875,87.0182555780933
106,adaptation,5,15,0.8565989847715798,86.25,87.10659898477158
107,adaptation,5,20,0.013070077864298923,86.75,86.7630700778643
108,adaptation,5,15,0.23692992213570108,87.0,86.7630700778643
109,adaptation,5,35,0.31343283582089043,87.0,87.31343283582089
110,adaptation,5,20,0.12332214765100957,87.125,87.24832214765101
111,adaptation,5,20,1.115030674846622,87.25,86.13496932515338
112,adaptation,5,35,2.617957746478865,87.125,84.50704225352113
113,adaptation,5,20,2.854116945107407,86.625,83.7708830548926
114,adaptation,5,20,2.6270783847980965,86.0,83.3729216152019
115,adaptation,5,20,2.971518987341767,85.25,82.27848101265823
116,adaptation,5,20,3.462136929460584,84.375,80.91286307053942
117,adaptation,5,15,3.2126288659793687,83.625,80.41237113402063
118,adaptation,5,15,1.0282004197271846,82.875,81.84679958027282
119,adaptation,5,15,0.0475687103593998,82.5,82.4524312896406
120,adaptation,5,25,1.1710369487485082,82.5,83.67103694874851
121,adaptation,5,40,2.924112607099147,83.0,85.92411260709915
122,adaptation,5,40,3.8855932203389756,84.25,88.13559322033898
123,adaptation,5,20,4.501050420168056,85.625,90.12605042016806
124,adaptation,5,15,3.0484104046242635,87.125,90.17341040462426
125,adaptation,5,15,1.6260504201680561,88.5,90.12605042016806
126,adaptation,5,20,1.1313291139240391,89.375,90.50632911392404
127,adaptation,5,15,0.5063291139240533,90.0,90.50632911392405
128,adaptation,5,30,0.49165707710011475,90.25,89.75834292289989
129,adaptation,5,15,1.7051083591331349,90.25,88.54489164086687
130,adaptation,5,15,1.4213917525773354,89.875,88.45360824742266
