windowNumber,session,lowCutoff,highCutoff,error,polarHR,calculatedHR
1,adaptation,5,20,0.6000000000000014,63.0,62.4
2,adaptation,5,15,0.8999716231555155,62.875,61.975028376844485
3,adaptation,5,15,0.22500000000000853,62.625,62.39999999999999
4,adaptation,5,35,0.3187919463087283,62.5,62.81879194630873
5,adaptation,5,25,1.6598119858989406,62.5,64.15981198589894
6,adaptation,5,20,2.8651419558359663,62.75,65.61514195583597
7,adaptation,5,40,2.9451909476662053,63.25,66.1951909476662
8,adaptation,5,20,3.699257425742559,63.875,67.57425742574256
9,adaptation,5,30,2.949257425742573,64.625,67.57425742574257
10,adaptation,5,40,2.324257425742559,65.25,67.57425742574256
11,adaptation,5,35,2.2897940074906273,65.875,68.16479400749063
12,adaptation,5,15,2.5752762430939242,66.375,68.95027624309392
13,adaptation,5,25,2.612750556792875,66.875,69.48775055679288
14,adaptation,5,15,1.8813817980022094,67.375,69.25638179800221
15,adaptation,5,20,0.5460526315789451,67.875,68.42105263157895
16,adaptation,5,15,0.2251088139281876,68.125,67.89989118607181
17,adaptation,5,15,0.1511437908496731,68.125,67.97385620915033
18,adaptation,5,15,0.7313150425733284,68.14285714285714,68.87417218543047
19,adaptation,5,30,1.75,68.25,70.0
20,adaptation,5,25,1.2986577181208077,68.5,69.79865771812081
21,adaptation,5,15,0.1515486725663635,68.875,69.02654867256636
22,adaptation,5,40,1.425742574257427,69.0,67.57425742574257
23,adaptation,5,15,2.3333333333333286,69.0,66.66666666666667
24,adaptation,5,20,1.3633909287257069,68.75,67.3866090712743
25,adaptation,5,35,0.22246696035242053,68.5,68.72246696035242
26,adaptation,5,35,1.3209718670076853,68.5,69.82097186700769
27,adaptation,5,15,2.100388601036272,68.625,70.72538860103627
28,adaptation,5,15,1.498742454728358,69.125,70.62374245472836
29,adaptation,5,15,1.1681766704416816,69.5,70.66817667044168
30,adaptation,5,15,0.5202702702702737,69.75,70.27027027027027
31,adaptation,5,25,0.17994858611825748,70.0,70.17994858611826
32,adaptation,5,35,0.16491754122938573,70.0,70.16491754122939
33,adaptation,5,15,0.03367003367003463,70.0,70.03367003367003
34,adaptation,5,25,0.6226175349428189,70.0,69.37738246505718
35,adaptation,5,15,1.4285714285714306,70.0,68.57142857142857
36,adaptation,5,25,1.9645522388059646,69.875,67.91044776119404
37,adaptation,5,40,2.480093256814925,69.625,67.14490674318508
38,adaptation,5,40,3.2733050847457577,69.375,66.10169491525424
39,adaptation,5,20,4.412190082644614,68.875,64.46280991735539
40,adaptation,5,15,4.184291581108823,68.25,64.06570841889118
41,adaptation,5,15,3.368448098663933,67.5,64.13155190133607
42,adaptation,5,25,2.5901880141010594,66.75,64.15981198589894
43,adaptation,5,40,2.835365853658537,66.25,63.41463414634146
44,adaptation,5,25,3.149678972712678,65.75,62.60032102728732
45,adaptation,5,30,3.470238095238102,65.375,61.9047619047619
46,adaptation,5,25,2.546232876712324,64.875,62.328767123287676
47,adaptation,5,15,0.375,64.375,64.0
48,adaptation,5,15,0.4044725956566708,64.125,64.52947259565667
49,adaptation,5,20,1.1860047846889898,64.125,65.31100478468899
50,adaptation,5,40,0.625,64.375,65.0
51,adaptation,5,40,0.42746913580248247,64.625,64.19753086419752
52,adaptation,5,30,1.1630434782608674,64.75,63.58695652173913
53,adaptation,5,15,1.2839327146171655,64.625,63.341067285382834
54,adaptation,5,25,1.131756756756758,64.375,63.24324324324324
55,adaptation,5,15,0.774746192893403,64.125,63.3502538071066
56,adaptation,5,15,0.3914373088684968,64.0,63.6085626911315
57,adaptation,5,35,0.1095890410958873,64.0,64.10958904109589
58,adaptation,5,40,0.7302904564315327,64.0,64.73029045643153
59,adaptation,5,25,1.0560584958217163,64.125,65.18105849582172
60,adaptation,5,15,1.25,64.375,65.625
61,adaptation,5,15,0.7153141361256559,64.625,65.34031413612566
62,adaptation,5,25,0.34239130434782794,64.875,65.21739130434783
63,adaptation,5,25,0.7831325301204686,65.0,65.78313253012047
64,adaptation,5,20,3.0854192740926294,65.25,68.33541927409263
65,adaptation,5,35,4.520270270270288,65.75,70.27027027027029
66,adaptation,5,40,4.872549019607831,66.5,71.37254901960783
67,adaptation,5,15,3.841463414634134,67.5,71.34146341463413
68,adaptation,5,25,2.71875,68.375,71.09375
69,adaptation,5,15,2.0717545638945154,69.125,71.19675456389452
70,adaptation,5,15,0.724492671927834,69.625,70.34949267192783
71,adaptation,5,15,0.08015695067264517,69.875,69.95515695067265
72,adaptation,5,35,0.2702702702702737,70.0,70.27027027027027
73,adaptation,5,20,0.21632996632996537,70.25,70.03367003367003
74,adaptation,5,15,0.887249443207125,70.375,69.48775055679288
75,adaptation,5,25,1.7820351758794004,70.375,68.5929648241206
76,adaptation,5,15,3.5833333333333286,70.25,66.66666666666667
77,adaptation,5,15,2.5810010764262756,69.75,67.16899892357372
78,adaptation,5,25,2.66463414634147,69.25,66.58536585365853
79,adaptation,5,30,2.927215189873422,68.75,65.82278481012658
80,adaptation,5,15,3.433056872037909,68.125,64.69194312796209
81,adaptation,5,15,2.4212382445141145,67.625,65.20376175548589
82,adaptation,5,20,1.0782078472958716,67.25,66.17179215270413
83,adaptation,5,20,0.08823529411765207,67.0,66.91176470588235
84,adaptation,5,40,0.23823109843081625,67.0,66.76176890156918
85,adaptation,5,35,0.04721030042918528,67.0,66.95278969957081
86,adaptation,5,25,0.41463414634147,67.0,66.58536585365853
87,adaptation,5,15,0.024704618689582958,67.0,67.02470461868958
88,adaptation,5,35,0.4907292954264477,67.0,67.49072929542645
89,adaptation,5,35,0.8982558139534831,67.125,68.02325581395348
90,adaptation,5,40,0.5988562091503269,67.375,67.97385620915033
91,adaptation,5,20,0.12744299674267268,67.625,67.75244299674267
92,adaptation,5,15,0.09885620915032689,67.875,67.97385620915033
93,adaptation,5,30,0.12227074235806867,68.0,68.12227074235807
94,adaptation,5,30,0.4210526315789451,68.0,68.42105263157895
95,adaptation,5,30,1.0265486725663635,68.0,69.02654867256636
96,adaptation,5,15,0.9296008869179531,68.25,69.17960088691795
97,adaptation,5,15,0.37417218543046715,68.5,68.87417218543047
98,adaptation,5,20,0.47866520787745515,68.75,68.27133479212254
99,adaptation,5,40,1.8743545611015549,69.0,67.12564543889845
100,adaptation,5,15,0.9975570032573273,68.75,67.75244299674267
101,adaptation,5,15,0.15388828039429825,68.5,68.3461117196057
102,adaptation,5,30,1.1428571428571672,68.5,69.64285714285717
103,adaptation,5,30,1.0178571428571388,68.625,69.64285714285714
104,adaptation,5,35,0.19575471698112779,68.875,68.67924528301887
105,adaptation,5,30,1.7383909287257069,69.125,67.3866090712743
106,adaptation,5,40,2.5604770017035747,69.0,66.43952299829643
107,adaptation,5,20,1.8155781584582513,68.625,66.80942184154175
108,adaptation,5,15,1.350295381310417,68.375,67.02470461868958
109,adaptation,5,25,0.23240938166311764,68.14285714285714,67.91044776119402
110,adaptation,5,30,0.08955223880596463,68.0,67.91044776119404
111,adaptation,5,15,2.68899521531101,68.0,65.31100478468899
112,adaptation,5,15,3.618448098663933,67.75,64.13155190133607
113,adaptation,5,15,3.398907103825131,67.33333333333333,63.9344262295082
114,adaptation,5,40,2.0197095435684673,66.75,64.73029045643153
115,adaptation,5,30,1.558056872037909,66.25,64.69194312796209
116,adaptation,5,40,1.2697095435684531,66.0,64.73029045643155
117,adaptation,5,25,2.076530612244902,65.75,63.6734693877551
118,adaptation,5,30,2.8493975903614484,65.5,62.65060240963855
119,adaptation,5,35,3.5826771653543332,65.0,61.41732283464567
120,adaptation,5,15,2.8191939120631346,64.375,61.555806087936865
121,adaptation,5,30,2.3191939120631417,63.875,61.55580608793686
122,adaptation,5,30,1.470238095238109,63.375,61.90476190476189
123,adaptation,5,30,2.4246108949416367,63.125,60.70038910505836
124,adaptation,5,40,3.7484871406959144,62.75,59.001512859304086
125,adaptation,5,30,4.079035874439455,62.375,58.295964125560545
126,adaptation,5,20,2.709386852085963,61.875,59.16561314791404
127,adaptation,5,35,2.0271739130434767,61.375,59.34782608695652
128,adaptation,5,15,0.9928414096916356,61.125,60.132158590308364
129,adaptation,5,15,0.4566623544631341,61.0,60.543337645536866
130,adaptation,5,15,0.843409316154613,61.0,61.84340931615461
131,adaptation,5,25,1.6865671641791167,61.0,62.68656716417912
132,adaptation,5,40,2.3122817229336547,61.25,63.562281722933655
133,adaptation,5,30,2.837809917355372,61.625,64.46280991735537
134,adaptation,5,20,3.0560584958217163,62.125,65.18105849582172
135,adaptation,5,15,3.033132530120483,62.75,65.78313253012048
136,adaptation,5,40,3.2916666666666714,63.375,66.66666666666667
137,adaptation,5,40,3.076167076167067,64.0,67.07616707616707
138,adaptation,5,35,0.8092915811088233,64.875,64.06570841889118
139,adaptation,5,40,0.9456024402643521,65.71428571428571,64.76868327402136
140,adaptation,5,35,2.1215753424657464,67.875,65.75342465753425
141,adaptation,5,40,1.9975490196078312,69.375,71.37254901960783
142,adaptation,5,25,1.5880281690140947,70.25,68.6619718309859
143,adaptation,5,20,3.2365591397849443,70.33333333333333,67.09677419354838
144,adaptation,5,40,3.8851522842639525,69.875,65.98984771573605
145,adaptation,5,35,5.796177266576457,69.125,63.32882273342354
146,baseline,5,15,3.5691939120631417,65.125,61.55580608793686
147,baseline,5,30,1.256756756756758,64.5,63.24324324324324
148,baseline,5,35,0.45153061224489477,64.125,63.673469387755105
149,baseline,5,40,0.49932157394843557,64.0,63.500678426051564
150,baseline,5,30,1.0967741935483915,64.0,62.90322580645161
151,baseline,5,35,2.7330508474576263,63.75,61.016949152542374
152,baseline,5,15,2.9879032258064555,63.375,60.387096774193544
153,baseline,5,15,0.8999716231555084,62.875,61.97502837684449
154,baseline,5,35,1.03963414634147,62.375,63.41463414634147
155,baseline,5,15,2.164007092198574,62.375,64.53900709219857
156,baseline,5,20,1.8109540636042425,62.5,64.31095406360424
157,baseline,5,20,1.1598119858989406,63.0,64.15981198589894
158,baseline,5,40,0.17346938775510523,63.5,63.673469387755105
159,baseline,5,30,1.4310584958217305,63.75,65.18105849582173
160,baseline,5,25,2.5416666666666714,64.125,66.66666666666667
161,baseline,5,15,3.1056338028168966,64.5,67.6056338028169
162,baseline,5,15,1.911764705882348,65.0,66.91176470588235
163,baseline,5,20,0.4619450317124745,65.5,65.96194503171247
164,baseline,5,15,0.3287815126050333,65.875,65.54621848739497
165,baseline,5,40,0.3749999999999858,66.0,65.62500000000001
166,baseline,5,20,0.5637583892617357,66.0,65.43624161073826
167,baseline,5,25,0.02176541717048508,66.0,66.02176541717049
168,baseline,5,40,1.0761670761670814,66.0,67.07616707616708
169,baseline,5,15,2.146334792122545,66.125,68.27133479212254
170,baseline,5,15,1.598856209150327,66.375,67.97385620915033
171,baseline,5,20,0.041666666666671404,66.625,66.66666666666667
172,baseline,5,25,0.4492909987669549,66.875,67.32429099876695
173,baseline,5,20,0.7854477611940354,67.125,67.91044776119404
174,baseline,5,15,1.8557692307692406,67.375,69.23076923076924
175,baseline,5,15,2.1586700336700346,67.875,70.03367003367003
176,baseline,5,25,1.8952702702702595,68.375,70.27027027027026
177,baseline,5,15,1.7319277108433795,68.75,70.48192771084338
178,baseline,5,25,1.4753886010362578,69.25,70.72538860103626
179,baseline,5,20,2.059633027522949,69.5,71.55963302752295
180,baseline,5,25,2.3178807947019777,70.0,72.31788079470198
181,baseline,5,15,2.959905660377345,70.625,73.58490566037734
182,baseline,5,15,2.6920347003154603,71.125,73.81703470031546
183,baseline,5,15,1.9711538461538396,71.875,73.84615384615384
184,baseline,5,15,0.6739073881373514,72.375,73.04890738813735
185,baseline,5,15,0.10739231664724969,72.75,72.64260768335275
186,baseline,5,15,1.0737704918032733,73.0,71.92622950819673
187,baseline,5,20,0.9382411067193601,72.875,71.93675889328064
188,baseline,5,15,0.25,72.875,73.125
189,baseline,5,15,0.326251303441083,72.875,73.20125130344108
190,baseline,5,15,0.5367647058823479,72.875,73.41176470588235
191,baseline,5,15,0.027027027027017425,73.0,72.97297297297298
192,baseline,5,30,0.9683377308707009,73.0,72.0316622691293
193,baseline,5,40,1.0442804428044354,73.0,71.95571955719556
194,baseline,5,15,2.4461060948081297,72.875,70.42889390519187
195,baseline,5,30,2.893199233716473,72.625,69.73180076628353
196,baseline,5,30,3.5275330396475653,72.25,68.72246696035243
197,baseline,5,15,4.019366197183103,71.625,67.6056338028169
198,baseline,5,15,4.065578158458251,70.875,66.80942184154175
199,baseline,5,20,2.8110841423948187,70.125,67.31391585760518
200,baseline,5,15,2.7620320855615006,69.5,66.7379679144385
201,baseline,5,20,3.3618513323983024,69.0,65.6381486676017
202,baseline,5,15,4.71495327102803,68.5,63.78504672897197
203,baseline,5,15,3.6701030927835063,68.0,64.3298969072165
204,baseline,5,15,2.720527404343329,67.25,64.52947259565667
205,baseline,5,15,0.2420212765957359,66.625,66.38297872340426
206,baseline,5,35,2.1964285714285694,66.375,68.57142857142857
207,baseline,5,40,3.6799485861182575,66.5,70.17994858611826
208,baseline,5,15,2.565217391304344,67.0,69.56521739130434
209,baseline,5,20,0.008064516129039134,67.75,67.74193548387096
210,baseline,5,25,3.3233830845771166,68.0,64.67661691542288
211,baseline,5,15,4.206211812627295,67.75,63.543788187372705
212,baseline,5,15,1.9780334728033466,67.25,65.27196652719665
213,baseline,5,15,0.38102893890675205,66.5,66.88102893890675
214,baseline,5,40,0.7217741935483843,66.375,67.09677419354838
215,baseline,5,25,0.07183499288763073,66.5,66.57183499288763
216,baseline,5,25,2.839953271028044,66.625,63.785046728971956
217,baseline,5,20,3.403115501519757,66.625,63.22188449848024
218,baseline,5,20,2.903115501519757,66.125,63.22188449848024
219,baseline,5,15,1.4651880141010594,65.625,64.15981198589894
220,baseline,5,30,0.021966527196639163,65.25,65.27196652719664
221,baseline,5,30,0.0,65.0,65.0
222,baseline,5,15,0.07747318235995238,65.0,65.07747318235995
223,baseline,5,30,0.23297491039426177,65.0,65.23297491039426
224,baseline,5,30,0.8227848101265778,65.0,65.82278481012658
225,baseline,5,15,1.5594218415417487,65.25,66.80942184154175
226,baseline,5,30,1.4527896995708147,65.5,66.95278969957081
227,baseline,5,20,0.9166666666666714,65.75,66.66666666666667
228,baseline,5,40,0.4668674698795172,66.25,65.78313253012048
229,baseline,5,35,0.8975603357817334,66.375,65.47743966421827
230,baseline,5,35,2.353112175102609,66.375,64.02188782489739
231,baseline,5,30,2.353112175102595,66.375,64.0218878248974
232,TP_baseline_to_tsst-prep,5,35,1.2745098039215677,65.0,63.72549019607843
233,TP_baseline_to_tsst-prep,5,15,1.196319018404914,65.0,63.803680981595086
234,TP_baseline_to_tsst-prep,5,20,0.41219008264462786,64.875,64.46280991735537
235,TP_baseline_to_tsst-prep,5,20,0.02939429928740367,64.875,64.8456057007126
236,TP_baseline_to_tsst-prep,5,25,0.9477848101265778,64.875,65.82278481012658
237,TP_baseline_to_tsst-prep,5,15,1.306818181818187,64.875,66.18181818181819
238,TP_baseline_to_tsst-prep,5,25,1.3353658536585442,65.25,66.58536585365854
239,TP_baseline_to_tsst-prep,5,15,1.5967741935483843,65.5,67.09677419354838
240,TP_baseline_to_tsst-prep,5,30,1.4074074074074048,66.0,67.4074074074074
241,TP_baseline_to_tsst-prep,5,15,2.374172185430467,66.5,68.87417218543047
242,TP_baseline_to_tsst-prep,5,25,2.856800766283527,66.875,69.73180076628353
243,TP_baseline_to_tsst-prep,5,30,3.965968586387433,67.5,71.46596858638743
244,TP_baseline_to_tsst-prep,5,20,3.823921971252574,68.25,72.07392197125257
245,TP_baseline_to_tsst-prep,5,25,3.317880794701992,69.0,72.31788079470199
246,TP_baseline_to_tsst-prep,5,15,3.0489073881373514,70.0,73.04890738813735
247,TP_baseline_to_tsst-prep,5,15,1.683139534883722,70.875,72.55813953488372
248,TP_baseline_to_tsst-prep,5,15,0.3043849658314315,71.375,71.07061503416857
249,TP_baseline_to_tsst-prep,5,30,3.651143790849673,71.625,67.97385620915033
250,TP_baseline_to_tsst-prep,5,35,1.2948430493273548,71.25,69.95515695067265
251,TP_baseline_to_tsst-prep,5,15,0.03746215943492359,70.875,70.83753784056508
252,tsst-prep,5,30,0.37745098039216884,71.75,71.37254901960783
253,tsst-prep,5,15,2.2843511450381726,71.75,69.46564885496183
254,tsst-prep,5,20,2.335659898477175,71.625,69.28934010152282
255,tsst-prep,5,20,3.3395522388059646,71.25,67.91044776119404
256,tsst-prep,5,15,1.570399113082047,70.75,69.17960088691795
257,tsst-prep,5,30,1.5225409836065609,70.375,68.85245901639344
258,tsst-prep,5,15,0.4821428571428612,70.125,69.64285714285714
259,tsst-prep,5,40,1.0497237569060758,70.0,68.95027624309392
260,tsst-prep,5,15,2.3425324675324646,69.875,67.53246753246754
261,tsst-prep,5,15,2.0193661971831034,69.625,67.6056338028169
262,tsst-prep,5,40,2.4222103004291853,69.375,66.95278969957081
263,tsst-prep,5,40,0.4787701317716113,69.0,68.52122986822839
264,tsst-prep,5,20,1.600295381310417,68.625,67.02470461868958
265,tsst-prep,5,30,0.9675925925925952,68.375,67.4074074074074
266,tsst-prep,5,15,1.1722103004291853,68.125,66.95278969957081
267,tsst-prep,5,40,0.5648414985590762,68.0,67.43515850144092
268,tsst-prep,5,15,0.6133909287256927,68.0,67.38660907127431
269,tsst-prep,5,35,0.1739130434782652,68.0,67.82608695652173
270,tsst-prep,5,20,1.088235294117652,68.0,66.91176470588235
271,tsst-prep,5,35,1.0941780821917746,67.875,66.78082191780823
272,tsst-prep,5,15,0.743971061093248,67.625,66.88102893890675
273,tsst-prep,5,15,0.08445945945946676,67.375,67.45945945945947
274,tsst-prep,5,15,0.5655781584582513,67.375,66.80942184154175
275,tsst-prep,5,15,0.92132587859426,67.375,66.45367412140574
276,tsst-prep,5,15,3.139705882352942,67.375,64.23529411764706
277,tsst-prep,5,15,2.125,67.125,65.0
278,tsst-prep,5,15,1.4212382445141003,66.625,65.2037617554859
279,tsst-prep,5,15,0.062433581296502894,66.25,66.3124335812965
280,tsst-prep,5,20,0.2579787234042641,66.125,66.38297872340426
281,tsst-prep,5,15,0.4548653610771112,66.375,66.82986536107711
282,tsst-prep,5,20,0.3282078472958574,66.5,66.17179215270414
283,tsst-prep,5,15,0.11702127659573591,66.5,66.38297872340426
284,tsst-prep,5,15,0.10047974413646443,66.625,66.52452025586354
285,tsst-prep,5,30,0.9659878682842162,66.625,67.59098786828422
286,tsst-prep,5,40,1.0760869565217348,66.75,67.82608695652173
287,tsst-prep,5,15,0.6056338028168966,67.0,67.6056338028169
288,tsst-prep,5,25,0.08823529411765207,67.0,66.91176470588235
289,tsst-prep,5,25,0.1428571428571388,67.0,66.85714285714286
290,tsst-prep,5,15,0.024704618689582958,67.0,67.02470461868958
291,tsst-prep,5,15,0.5324675324675212,67.0,67.53246753246752
292,tsst-prep,5,30,0.18518518518517624,67.22222222222223,67.4074074074074
293,tsst-prep,5,25,0.13005780346820472,67.5,67.6300578034682
294,tsst-prep,5,40,0.7972103004291853,67.75,66.95278969957081
295,tsst-prep,5,35,1.197098976109217,67.75,66.55290102389078
296,tsst-prep,5,30,1.5380549682875255,67.5,65.96194503171247
297,tsst-prep,5,15,0.1738329238329328,67.25,67.07616707616707
298,tsst-prep,5,35,0.08823529411765207,67.0,66.91176470588235
299,tsst-prep,5,15,0.24137931034482563,67.0,67.24137931034483
300,tsst-prep,5,30,0.12564543889844515,67.0,67.12564543889845
301,tsst-prep,5,35,0.6170212765957359,67.0,66.38297872340426
302,tsst-prep,5,15,0.2620320855615006,67.0,66.7379679144385
303,tsst-prep,5,30,0.7419354838709751,67.0,67.74193548387098
304,tsst-prep,5,30,0.8298004987531158,67.25,68.07980049875312
305,tsst-prep,5,15,2.0787815126050333,67.625,65.54621848739497
306,tsst-prep,5,20,5.484263657957257,68.625,74.10926365795726
307,tsst-prep,5,15,3.4026617954071128,69.875,73.27766179540711
308,tsst-prep,5,35,1.1958598726114644,70.75,69.55414012738854
309,tsst-prep,5,40,3.8425925925925952,71.25,67.4074074074074
310,tsst-prep,5,40,6.564045936395772,70.875,64.31095406360423
311,tsst-prep,5,15,5.689045936395743,70.0,64.31095406360426
312,tsst-prep,5,15,5.944647000331457,69.28571428571429,63.341067285382834
313,tsst-prep,5,15,3.662190082644628,68.125,64.46280991735537
314,tsst-prep,5,15,2.1030334728033466,67.375,65.27196652719665
315,tsst-prep,5,30,0.6931818181818272,66.875,66.18181818181817
316,tsst-prep,5,40,1.047440699126085,66.77777777777777,65.73033707865169
317,tsst-prep,5,30,1.3189415041782695,66.5,65.18105849582173
318,tsst-prep,5,15,2.5899532710280297,66.375,63.78504672897197
