windowNumber,session,lowCutoff,highCutoff,error,polarHR,calculatedHR
1,adaptation,5,15,5.001257545271628,75.625,70.62374245472837
2,adaptation,5,15,5.7234513274336365,74.75,69.02654867256636
3,adaptation,5,15,4.541666666666671,73.875,69.33333333333333
4,adaptation,5,15,3.218687872763425,73.0,69.78131212723657
5,adaptation,5,15,1.6961060948081297,72.125,70.42889390519187
6,adaptation,5,25,1.4429156908665135,71.625,73.06791569086651
7,adaptation,5,15,4.472560975609753,71.625,76.09756097560975
8,adaptation,5,15,3.8063380281690087,72.25,76.05633802816901
9,adaptation,5,40,2.879872107186358,73.125,76.00487210718636
10,adaptation,5,20,0.4894067796610102,73.875,74.36440677966101
11,adaptation,5,15,0.09016393442622928,74.5,74.59016393442623
12,adaptation,5,15,0.036992840095464885,74.5,74.46300715990454
13,adaptation,5,15,1.3070843091334865,74.375,73.06791569086651
14,adaptation,5,15,0.30585106382977756,74.375,74.68085106382978
15,adaptation,5,15,0.30197132616487465,74.25,74.55197132616487
16,adaptation,5,15,1.5990259740259773,74.375,75.97402597402598
17,adaptation,5,20,1.3798721071863582,74.625,76.00487210718636
18,adaptation,5,15,0.4027926960257844,75.0,75.40279269602578
19,adaptation,5,25,0.2947860962566864,75.375,75.08021390374331
20,adaptation,5,15,0.02779269602578438,75.375,75.40279269602578
21,adaptation,5,25,1.2527675276752888,75.5,76.75276752767529
22,adaptation,5,15,3.5720338983050937,75.75,79.3220338983051
23,adaptation,5,15,3.4321793416572035,76.25,79.6821793416572
24,adaptation,5,20,2.143179255918824,77.0,79.14317925591882
25,adaptation,5,40,0.013059701492537101,77.625,77.61194029850746
26,adaptation,5,40,0.9901269393511996,78.0,77.0098730606488
27,adaptation,5,25,2.421553808948005,77.875,75.453446191052
28,adaptation,5,40,3.9242125984252,77.625,73.7007874015748
29,adaptation,5,15,4.178423236514519,77.0,72.82157676348548
30,adaptation,5,25,0.7222073039742156,76.125,75.40279269602578
31,adaptation,5,20,1.9908637873754174,75.75,77.74086378737542
32,adaptation,5,15,0.8875545851528415,75.75,76.63755458515284
33,adaptation,5,15,2.7223382045929014,76.0,73.2776617954071
34,adaptation,5,15,4.522336769759448,76.0,71.47766323024055
35,adaptation,5,15,1.6052631578947398,75.5,73.89473684210526
36,adaptation,5,15,0.6088709677419359,74.875,75.48387096774194
37,adaptation,5,40,0.2615961800818525,74.75,74.48840381991815
38,adaptation,5,35,5.0,75.0,70.0
39,adaptation,5,15,10.037190082644628,74.5,64.46280991735537
40,adaptation,5,15,9.988636363636367,73.625,63.63636363636363
41,adaptation,5,15,8.732329084588642,72.0,63.26767091541136
42,adaptation,5,30,9.659883720930239,70.125,60.46511627906976
43,adaptation,5,40,9.3892694063927,68.75,59.3607305936073
44,adaptation,5,15,8.80178347934919,67.375,58.57321652065081
45,adaptation,5,15,7.161717062634985,66.125,58.963282937365015
46,adaptation,5,20,3.5266853932584183,64.875,61.34831460674158
47,adaptation,5,15,0.7536127167630013,63.875,63.121387283237
48,adaptation,5,15,1.2128099173553863,63.25,64.46280991735539
49,adaptation,5,15,2.155131264916477,63.0,65.15513126491648
50,adaptation,5,15,3.7027896995708147,63.25,66.95278969957081
51,adaptation,5,15,2.2967921527041284,63.875,66.17179215270413
52,adaptation,5,15,0.09552740434332918,64.625,64.52947259565667
53,adaptation,5,15,3.5135135135135087,65.0,61.48648648648649
54,adaptation,5,15,3.4441939120631346,65.0,61.555806087936865
55,adaptation,5,20,2.2070446735395137,64.75,62.542955326460486
56,adaptation,5,40,1.006756756756758,64.25,63.24324324324324
57,adaptation,5,15,3.4767699115044195,63.875,60.39823008849558
58,adaptation,5,20,3.822152245345009,63.625,59.80284775465499
59,adaptation,5,15,0.2941599539700732,63.125,62.83084004602993
60,adaptation,5,15,2.4537617554858997,62.75,65.2037617554859
61,adaptation,5,20,3.242038216560516,63.0,66.24203821656052
62,adaptation,5,15,1.625,63.375,65.0
63,adaptation,5,30,0.8169431279620767,63.875,64.69194312796208
64,adaptation,5,25,2.8261670761670814,64.25,67.07616707616708
65,adaptation,5,15,4.631381798002209,64.625,69.25638179800221
66,adaptation,5,35,5.874620060790278,65.25,71.12462006079028
67,adaptation,5,15,5.382653061224488,66.25,71.63265306122449
68,adaptation,5,20,3.934633027522935,67.625,71.55963302752293
69,adaptation,5,15,2.7708810068649825,68.625,71.39588100686498
70,adaptation,5,15,0.0833333333333286,69.25,69.33333333333333
71,adaptation,5,40,5.284963985594231,69.625,74.90996398559423
72,adaptation,5,40,0.45515695067264517,69.5,69.95515695067265
73,adaptation,5,40,1.3834745762711833,69.125,70.50847457627118
74,adaptation,5,40,2.0208810068649825,69.375,71.39588100686498
75,adaptation,5,15,2.6958204334365377,69.75,72.44582043343654
76,adaptation,5,15,1.4741379310344769,70.25,71.72413793103448
77,adaptation,5,15,0.17139614074913823,71.0,70.82860385925086
78,adaptation,5,40,0.5731845688351029,71.375,70.8018154311649
79,adaptation,5,15,3.3501088139281876,71.25,67.89989118607181
80,adaptation,5,30,0.11476109215016095,70.875,70.98976109215016
81,adaptation,5,15,4.125,70.875,75.0
82,adaptation,5,15,7.010869565217391,71.25,78.26086956521739
83,adaptation,5,15,4.096498371335514,72.125,76.22149837133551
84,adaptation,5,15,0.07549941245594027,73.25,73.32549941245594
85,adaptation,5,25,0.019736842105260166,73.875,73.89473684210526
