windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,15
2,adaptation,5,20
3,adaptation,5,15
4,adaptation,5,15
5,adaptation,5,15
6,adaptation,5,15
7,adaptation,5,40
8,adaptation,5,15
9,adaptation,5,15
10,adaptation,5,15
11,adaptation,5,15
12,adaptation,5,15
13,adaptation,5,25
14,adaptation,5,25
15,adaptation,5,15
16,adaptation,5,15
17,adaptation,5,30
18,adaptation,5,40
19,adaptation,5,35
20,adaptation,5,25
21,adaptation,5,30
22,adaptation,5,25
23,adaptation,5,15
24,adaptation,5,15
25,adaptation,5,25
26,adaptation,5,15
27,adaptation,5,30
28,adaptation,5,40
29,adaptation,5,25
30,adaptation,5,30
31,adaptation,5,20
32,adaptation,5,15
33,adaptation,5,20
34,adaptation,5,40
35,adaptation,5,15
36,adaptation,5,25
37,adaptation,5,25
38,adaptation,5,35
39,adaptation,5,15
40,adaptation,5,15
41,adaptation,5,25
42,adaptation,5,35
43,adaptation,5,15
44,adaptation,5,15
45,adaptation,5,15
46,adaptation,5,20
47,adaptation,5,15
48,adaptation,5,15
49,adaptation,5,15
50,adaptation,5,20
51,adaptation,5,15
52,adaptation,5,35
53,adaptation,5,15
54,adaptation,5,35
55,adaptation,5,35
56,adaptation,5,15
57,adaptation,5,15
58,adaptation,5,15
59,adaptation,5,15
60,adaptation,5,30
61,adaptation,5,15
62,adaptation,5,15
63,adaptation,5,15
64,adaptation,5,20
65,adaptation,5,35
66,adaptation,5,35
67,adaptation,5,30
68,adaptation,5,20
69,adaptation,5,20
70,adaptation,5,20
71,adaptation,5,20
72,adaptation,5,35
73,adaptation,5,15
74,adaptation,5,25
75,adaptation,5,20
76,adaptation,5,40
77,adaptation,5,25
78,adaptation,5,15
79,adaptation,5,40
80,adaptation,5,40
81,adaptation,5,30
82,adaptation,5,25
83,adaptation,5,20
84,adaptation,5,15
85,adaptation,5,35
86,adaptation,5,30
87,adaptation,5,25
88,adaptation,5,15
89,adaptation,5,35
90,adaptation,5,35
91,adaptation,5,15
92,adaptation,5,35
93,adaptation,5,15
94,adaptation,5,15
95,adaptation,5,20
96,adaptation,5,30
97,adaptation,5,15
98,adaptation,5,35
99,adaptation,5,30
100,adaptation,5,15
101,adaptation,5,30
102,adaptation,5,30
103,adaptation,5,30
104,adaptation,5,15
105,adaptation,5,35
106,adaptation,5,15
107,adaptation,5,20
108,adaptation,5,15
109,adaptation,5,30
110,adaptation,5,15
111,adaptation,5,15
112,adaptation,5,20
113,adaptation,5,25
114,adaptation,5,25
115,adaptation,5,20
116,adaptation,5,40
117,adaptation,5,15
118,adaptation,5,40
119,adaptation,5,15
120,adaptation,5,25
121,adaptation,5,15
122,adaptation,5,15
123,adaptation,5,15
124,adaptation,5,35
125,adaptation,5,30
126,adaptation,5,15
127,adaptation,5,25
128,adaptation,5,20
129,adaptation,5,25
130,adaptation,5,35
131,adaptation,5,15
132,adaptation,5,25
133,adaptation,5,25
134,adaptation,5,35
135,adaptation,5,15
136,adaptation,5,15
137,adaptation,5,20
138,adaptation,5,15
139,adaptation,5,15
140,adaptation,5,15
141,adaptation,5,15
142,adaptation,5,40
143,adaptation,5,30
144,adaptation,5,15
145,adaptation,5,35
146,adaptation,5,30
147,adaptation,5,40
148,baseline,5,15
149,baseline,5,15
150,baseline,5,20
151,baseline,5,15
152,baseline,5,20
153,baseline,5,40
154,baseline,5,20
155,baseline,5,15
156,baseline,5,15
157,baseline,5,15
158,baseline,5,15
159,baseline,5,30
160,baseline,5,30
161,baseline,5,35
162,baseline,5,35
163,baseline,5,30
164,baseline,5,20
165,baseline,5,15
166,baseline,5,15
167,baseline,5,25
168,baseline,5,30
169,baseline,5,15
170,baseline,5,20
171,baseline,5,20
172,baseline,5,15
173,baseline,5,35
174,baseline,5,15
175,baseline,5,15
176,baseline,5,20
177,baseline,5,20
178,baseline,5,20
179,baseline,5,20
180,baseline,5,20
181,baseline,5,25
182,baseline,5,25
183,baseline,5,40
184,baseline,5,40
185,baseline,5,15
186,baseline,5,35
187,baseline,5,30
188,baseline,5,35
189,baseline,5,15
190,baseline,5,30
191,baseline,5,15
192,baseline,5,35
193,baseline,5,15
194,baseline,5,25
195,baseline,5,15
196,baseline,5,15
197,baseline,5,30
198,baseline,5,15
199,baseline,5,15
200,baseline,5,30
201,baseline,5,35
202,baseline,5,15
203,baseline,5,40
204,baseline,5,30
205,baseline,5,30
206,baseline,5,25
207,baseline,5,30
208,baseline,5,15
209,baseline,5,15
210,baseline,5,20
211,baseline,5,20
212,baseline,5,30
213,baseline,5,30
214,baseline,5,25
215,baseline,5,20
216,baseline,5,20
217,baseline,5,20
218,baseline,5,15
219,baseline,5,15
220,baseline,5,30
221,baseline,5,15
222,baseline,5,15
223,baseline,5,25
224,baseline,5,20
225,baseline,5,35
226,baseline,5,40
227,baseline,5,20
228,baseline,5,30
229,baseline,5,35
230,baseline,5,40
231,baseline,5,35
232,baseline,5,35
233,baseline,5,35
234,TP_baseline_to_tsst-prep,5,25
235,TP_baseline_to_tsst-prep,5,35
236,TP_baseline_to_tsst-prep,5,25
237,TP_baseline_to_tsst-prep,5,20
238,TP_baseline_to_tsst-prep,5,30
239,TP_baseline_to_tsst-prep,5,40
240,TP_baseline_to_tsst-prep,5,35
241,TP_baseline_to_tsst-prep,5,15
242,TP_baseline_to_tsst-prep,5,15
243,TP_baseline_to_tsst-prep,5,25
244,TP_baseline_to_tsst-prep,5,35
245,TP_baseline_to_tsst-prep,5,15
246,TP_baseline_to_tsst-prep,5,20
247,TP_baseline_to_tsst-prep,5,35
248,TP_baseline_to_tsst-prep,5,15
249,TP_baseline_to_tsst-prep,5,15
250,TP_baseline_to_tsst-prep,5,15
251,TP_baseline_to_tsst-prep,5,25
252,TP_baseline_to_tsst-prep,5,15
253,TP_baseline_to_tsst-prep,5,35
254,tsst-prep,5,15
255,tsst-prep,5,25
256,tsst-prep,5,15
257,tsst-prep,5,20
258,tsst-prep,5,15
259,tsst-prep,5,15
260,tsst-prep,5,15
261,tsst-prep,5,25
262,tsst-prep,5,15
263,tsst-prep,5,25
264,tsst-prep,5,15
265,tsst-prep,5,15
266,tsst-prep,5,40
267,tsst-prep,5,40
268,tsst-prep,5,20
269,tsst-prep,5,30
270,tsst-prep,5,15
271,tsst-prep,5,25
272,tsst-prep,5,40
273,tsst-prep,5,35
274,tsst-prep,5,40
275,tsst-prep,5,15
276,tsst-prep,5,15
277,tsst-prep,5,40
278,tsst-prep,5,15
279,tsst-prep,5,15
280,tsst-prep,5,20
281,tsst-prep,5,15
282,tsst-prep,5,15
283,tsst-prep,5,15
284,tsst-prep,5,20
