windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,30
2,adaptation,5,20
3,adaptation,5,30
4,adaptation,5,15
5,adaptation,5,15
6,adaptation,5,40
7,adaptation,5,20
8,adaptation,5,15
9,adaptation,5,30
10,adaptation,5,25
11,adaptation,5,30
12,adaptation,5,20
13,adaptation,5,25
14,adaptation,5,20
15,adaptation,5,30
16,adaptation,5,20
17,adaptation,5,15
18,adaptation,5,15
19,adaptation,5,25
20,adaptation,5,15
21,adaptation,5,30
22,adaptation,5,15
23,adaptation,5,25
24,adaptation,5,35
25,adaptation,5,25
26,adaptation,5,30
27,adaptation,5,30
28,adaptation,5,40
29,adaptation,5,25
30,adaptation,5,20
31,adaptation,5,30
32,adaptation,5,35
33,adaptation,5,15
34,adaptation,5,15
35,adaptation,5,15
36,adaptation,5,20
37,adaptation,5,35
38,adaptation,5,15
39,adaptation,5,20
40,adaptation,5,25
41,adaptation,5,40
42,adaptation,5,30
43,adaptation,5,30
44,adaptation,5,15
45,adaptation,5,30
46,adaptation,5,25
47,adaptation,5,25
48,adaptation,5,15
49,adaptation,5,35
50,adaptation,5,15
51,adaptation,5,25
52,adaptation,5,40
53,adaptation,5,20
54,adaptation,5,15
55,adaptation,5,15
56,adaptation,5,20
57,adaptation,5,15
58,adaptation,5,40
59,adaptation,5,15
60,adaptation,5,15
61,adaptation,5,30
62,adaptation,5,30
63,adaptation,5,15
64,adaptation,5,15
65,adaptation,5,25
66,adaptation,5,20
67,adaptation,5,15
68,adaptation,5,15
69,adaptation,5,40
70,adaptation,5,20
71,adaptation,5,15
72,adaptation,5,15
73,adaptation,5,20
74,adaptation,5,40
75,adaptation,5,35
76,adaptation,5,25
77,adaptation,5,40
78,adaptation,5,30
79,adaptation,5,30
80,adaptation,5,15
81,adaptation,5,15
82,adaptation,5,15
83,adaptation,5,15
84,adaptation,5,20
85,adaptation,5,20
86,adaptation,5,15
87,adaptation,5,20
88,adaptation,5,15
89,adaptation,5,15
90,adaptation,5,15
91,adaptation,5,20
92,adaptation,5,25
93,adaptation,5,30
94,adaptation,5,15
95,adaptation,5,15
96,adaptation,5,15
97,adaptation,5,15
98,adaptation,5,25
99,adaptation,5,20
100,adaptation,5,20
101,adaptation,5,15
102,adaptation,5,35
103,adaptation,5,15
104,adaptation,5,15
105,adaptation,5,15
106,adaptation,5,30
107,adaptation,5,35
108,adaptation,5,20
109,adaptation,5,15
110,adaptation,5,30
111,adaptation,5,15
112,adaptation,5,15
113,adaptation,5,15
114,adaptation,5,25
115,adaptation,5,15
116,adaptation,5,35
117,adaptation,5,15
118,adaptation,5,15
119,adaptation,5,15
120,adaptation,5,25
121,adaptation,5,15
122,adaptation,5,15
123,adaptation,5,20
