windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,15
2,adaptation,5,15
3,adaptation,5,15
4,adaptation,5,15
5,adaptation,5,25
6,adaptation,5,20
7,adaptation,5,25
8,adaptation,5,30
9,adaptation,5,30
10,adaptation,5,30
11,adaptation,5,20
12,adaptation,5,15
13,adaptation,5,30
14,adaptation,5,35
15,adaptation,5,15
16,adaptation,5,20
17,adaptation,5,15
18,adaptation,5,20
19,adaptation,5,20
20,adaptation,5,40
21,adaptation,5,15
22,adaptation,5,15
23,adaptation,5,15
24,adaptation,5,20
25,adaptation,5,15
26,adaptation,5,15
27,adaptation,5,15
28,adaptation,5,15
29,adaptation,5,15
30,adaptation,5,15
31,adaptation,5,15
32,adaptation,5,15
33,adaptation,5,15
34,adaptation,5,15
35,adaptation,5,15
36,adaptation,5,15
37,adaptation,5,15
38,adaptation,5,35
39,adaptation,5,30
40,adaptation,5,15
41,adaptation,5,25
42,adaptation,5,15
43,adaptation,5,15
44,adaptation,5,15
45,adaptation,5,20
46,adaptation,5,25
47,adaptation,5,15
48,adaptation,5,15
49,adaptation,5,25
50,adaptation,5,40
51,adaptation,5,15
52,adaptation,5,40
53,adaptation,5,25
54,adaptation,5,15
55,adaptation,5,15
56,adaptation,5,40
57,adaptation,5,30
58,adaptation,5,40
59,adaptation,5,20
60,adaptation,5,35
61,adaptation,5,15
62,adaptation,5,15
63,adaptation,5,15
64,adaptation,5,15
65,adaptation,5,15
66,adaptation,5,15
67,adaptation,5,25
68,adaptation,5,25
69,adaptation,5,25
70,adaptation,5,20
71,adaptation,5,20
72,adaptation,5,25
73,adaptation,5,20
74,adaptation,5,25
75,adaptation,5,15
76,adaptation,5,15
77,adaptation,5,15
78,adaptation,5,20
79,adaptation,5,15
80,adaptation,5,40
81,adaptation,5,35
82,adaptation,5,15
83,adaptation,5,15
84,adaptation,5,35
85,adaptation,5,15
86,adaptation,5,15
87,adaptation,5,20
88,adaptation,5,20
89,adaptation,5,20
90,adaptation,5,35
91,adaptation,5,15
92,adaptation,5,15
93,adaptation,5,15
94,adaptation,5,25
95,adaptation,5,20
96,adaptation,5,20
97,adaptation,5,20
98,adaptation,5,25
99,adaptation,5,15
100,adaptation,5,15
101,adaptation,5,15
102,adaptation,5,15
103,adaptation,5,35
104,adaptation,5,40
105,adaptation,5,15
106,adaptation,5,15
107,adaptation,5,35
108,adaptation,5,15
109,adaptation,5,35
110,adaptation,5,20
111,adaptation,5,15
112,adaptation,5,15
113,adaptation,5,15
114,adaptation,5,25
115,adaptation,5,15
116,adaptation,5,20
117,adaptation,5,40
118,adaptation,5,30
119,adaptation,5,25
120,adaptation,5,20
121,adaptation,5,15
122,adaptation,5,15
123,adaptation,5,20
124,adaptation,5,15
125,adaptation,5,15
126,adaptation,5,15
127,adaptation,5,15
128,adaptation,5,30
129,adaptation,5,15
130,adaptation,5,25
131,adaptation,5,20
132,adaptation,5,25
133,adaptation,5,20
134,adaptation,5,15
135,adaptation,5,20
136,adaptation,5,15
137,adaptation,5,15
138,adaptation,5,35
139,adaptation,5,15
140,adaptation,5,15
141,adaptation,5,15
142,adaptation,5,15
143,adaptation,5,35
144,adaptation,5,15
145,adaptation,5,30
146,adaptation,5,15
147,adaptation,5,35
148,baseline,5,20
149,baseline,5,15
150,baseline,5,35
151,baseline,5,15
152,baseline,5,15
153,baseline,5,35
154,baseline,5,35
155,baseline,5,20
156,baseline,5,15
157,baseline,5,15
158,baseline,5,15
159,baseline,5,15
160,baseline,5,20
161,baseline,5,15
162,baseline,5,15
163,baseline,5,20
164,baseline,5,30
165,baseline,5,30
166,baseline,5,20
167,baseline,5,40
168,baseline,5,15
169,baseline,5,30
170,baseline,5,15
171,baseline,5,35
172,baseline,5,25
173,baseline,5,20
174,baseline,5,20
175,baseline,5,20
176,baseline,5,15
177,baseline,5,15
178,baseline,5,15
179,baseline,5,40
180,baseline,5,15
181,baseline,5,15
182,baseline,5,15
183,baseline,5,15
184,baseline,5,15
185,baseline,5,40
186,baseline,5,25
187,baseline,5,15
188,baseline,5,15
189,baseline,5,15
190,baseline,5,15
191,baseline,5,35
192,baseline,5,20
193,baseline,5,20
194,baseline,5,15
195,baseline,5,15
196,baseline,5,35
197,baseline,5,15
198,baseline,5,15
199,baseline,5,15
200,baseline,5,35
201,baseline,5,15
202,baseline,5,40
203,baseline,5,15
204,baseline,5,20
205,baseline,5,15
206,baseline,5,20
207,baseline,5,15
208,baseline,5,35
209,baseline,5,20
210,baseline,5,30
211,baseline,5,20
212,baseline,5,20
213,baseline,5,15
214,baseline,5,35
215,baseline,5,20
216,baseline,5,25
217,baseline,5,40
218,baseline,5,15
219,baseline,5,15
220,baseline,5,25
221,baseline,5,25
222,baseline,5,15
223,baseline,5,20
224,baseline,5,25
225,baseline,5,35
226,baseline,5,15
227,baseline,5,20
228,baseline,5,20
229,baseline,5,20
230,baseline,5,25
231,baseline,5,15
232,baseline,5,15
233,baseline,5,20
234,baseline,5,20
