windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,15
2,adaptation,5,15
3,adaptation,5,15
4,adaptation,5,15
5,adaptation,5,35
6,adaptation,5,30
7,adaptation,5,25
8,adaptation,5,15
9,adaptation,5,15
10,adaptation,5,15
11,adaptation,5,30
12,adaptation,5,25
13,adaptation,5,25
14,adaptation,5,20
15,adaptation,5,20
16,adaptation,5,15
17,adaptation,5,15
18,adaptation,5,25
19,adaptation,5,25
20,adaptation,5,20
21,adaptation,5,15
22,adaptation,5,30
23,adaptation,5,30
24,adaptation,5,25
25,adaptation,5,15
26,adaptation,5,15
27,adaptation,5,15
28,adaptation,5,15
29,adaptation,5,15
30,adaptation,5,15
31,adaptation,5,25
32,adaptation,5,15
33,adaptation,5,25
34,adaptation,5,15
35,adaptation,5,15
36,adaptation,5,35
37,adaptation,5,30
38,adaptation,5,15
39,adaptation,5,25
40,adaptation,5,15
41,adaptation,5,15
42,adaptation,5,15
43,adaptation,5,15
44,adaptation,5,20
45,adaptation,5,20
46,adaptation,5,20
47,adaptation,5,15
48,adaptation,5,25
49,adaptation,5,35
50,adaptation,5,30
51,adaptation,5,35
52,adaptation,5,15
53,adaptation,5,15
54,adaptation,5,15
55,adaptation,5,15
56,adaptation,5,30
57,adaptation,5,15
58,adaptation,5,40
59,adaptation,5,15
60,adaptation,5,35
61,adaptation,5,35
62,adaptation,5,25
63,adaptation,5,20
64,adaptation,5,15
65,adaptation,5,15
66,adaptation,5,30
67,adaptation,5,25
68,adaptation,5,15
69,adaptation,5,15
70,adaptation,5,30
71,adaptation,5,30
72,adaptation,5,15
73,adaptation,5,40
74,adaptation,5,15
75,adaptation,5,40
76,adaptation,5,15
77,adaptation,5,30
78,adaptation,5,20
79,adaptation,5,15
80,adaptation,5,15
81,adaptation,5,30
82,adaptation,5,15
83,adaptation,5,40
84,adaptation,5,30
85,adaptation,5,15
86,adaptation,5,20
87,adaptation,5,20
88,adaptation,5,20
89,adaptation,5,35
90,adaptation,5,15
91,adaptation,5,25
92,adaptation,5,15
93,adaptation,5,15
94,adaptation,5,15
95,adaptation,5,30
96,adaptation,5,15
97,adaptation,5,15
98,adaptation,5,15
99,adaptation,5,15
100,adaptation,5,15
101,adaptation,5,15
102,adaptation,5,15
103,adaptation,5,15
104,adaptation,5,30
105,adaptation,5,25
106,adaptation,5,30
107,adaptation,5,40
108,adaptation,5,35
109,adaptation,5,15
110,adaptation,5,15
111,adaptation,5,15
112,adaptation,5,15
113,adaptation,5,15
114,adaptation,5,35
115,adaptation,5,15
116,adaptation,5,15
117,adaptation,5,25
118,adaptation,5,40
119,adaptation,5,15
120,adaptation,5,15
121,adaptation,5,15
122,adaptation,5,15
123,adaptation,5,40
124,adaptation,5,40
125,adaptation,5,15
126,adaptation,5,15
127,adaptation,5,15
128,adaptation,5,30
129,adaptation,5,15
130,adaptation,5,20
131,adaptation,5,20
132,adaptation,5,35
133,adaptation,5,35
134,adaptation,5,15
135,adaptation,5,25
136,adaptation,5,15
137,adaptation,5,30
138,adaptation,5,25
139,adaptation,5,30
140,adaptation,5,15
141,adaptation,5,30
142,adaptation,5,25
143,adaptation,5,25
144,adaptation,5,20
145,adaptation,5,30
146,adaptation,5,15
147,adaptation,5,15
148,baseline,5,40
149,baseline,5,15
150,baseline,5,15
151,baseline,5,20
152,baseline,5,30
153,baseline,5,25
154,baseline,5,15
155,baseline,5,25
156,baseline,5,15
157,baseline,5,30
158,baseline,5,15
159,baseline,5,20
160,baseline,5,20
161,baseline,5,20
162,baseline,5,20
163,baseline,5,25
164,baseline,5,20
165,baseline,5,15
166,baseline,5,15
167,baseline,5,20
168,baseline,5,25
169,baseline,5,20
170,baseline,5,40
171,baseline,5,15
172,baseline,5,25
173,baseline,5,20
174,baseline,5,15
175,baseline,5,15
176,baseline,5,25
177,baseline,5,25
178,baseline,5,15
179,baseline,5,40
180,baseline,5,15
181,baseline,5,30
182,baseline,5,15
183,baseline,5,25
184,baseline,5,15
185,baseline,5,15
186,baseline,5,15
187,baseline,5,15
188,baseline,5,30
189,baseline,5,15
190,baseline,5,30
191,baseline,5,25
192,baseline,5,25
193,baseline,5,40
194,baseline,5,15
195,baseline,5,15
196,baseline,5,20
197,baseline,5,20
198,baseline,5,15
199,baseline,5,15
200,baseline,5,40
201,baseline,5,20
202,baseline,5,15
203,baseline,5,15
204,baseline,5,15
205,baseline,5,20
206,baseline,5,25
207,baseline,5,15
208,baseline,5,15
209,baseline,5,15
210,baseline,5,25
211,baseline,5,15
212,baseline,5,15
213,baseline,5,15
214,baseline,5,35
215,baseline,5,15
216,baseline,5,30
217,baseline,5,15
218,baseline,5,40
219,baseline,5,20
220,baseline,5,20
221,baseline,5,20
222,baseline,5,15
223,baseline,5,15
224,baseline,5,20
225,baseline,5,15
226,baseline,5,15
227,baseline,5,40
228,baseline,5,15
229,baseline,5,25
230,baseline,5,25
231,baseline,5,35
232,baseline,5,15
233,baseline,5,30
