windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,15
2,adaptation,5,30
3,adaptation,5,30
4,adaptation,5,25
5,adaptation,5,35
6,adaptation,5,40
7,adaptation,5,25
8,adaptation,5,15
9,adaptation,5,15
10,adaptation,5,40
11,adaptation,5,15
12,adaptation,5,40
13,adaptation,5,35
14,adaptation,5,40
15,adaptation,5,40
16,adaptation,5,15
17,adaptation,5,25
18,adaptation,5,30
19,adaptation,5,35
20,adaptation,5,15
21,adaptation,5,15
22,adaptation,5,15
23,adaptation,5,20
24,adaptation,5,15
25,adaptation,5,40
26,adaptation,5,35
27,adaptation,5,30
28,adaptation,5,15
29,adaptation,5,15
30,adaptation,5,25
31,adaptation,5,20
32,adaptation,5,25
33,adaptation,5,20
34,adaptation,5,35
35,adaptation,5,15
36,adaptation,5,20
37,adaptation,5,15
38,adaptation,5,30
39,adaptation,5,20
40,adaptation,5,25
41,adaptation,5,20
42,adaptation,5,15
43,adaptation,5,15
44,adaptation,5,35
45,adaptation,5,20
46,adaptation,5,15
47,adaptation,5,30
48,adaptation,5,25
49,adaptation,5,25
50,adaptation,5,15
51,adaptation,5,15
52,adaptation,5,25
53,adaptation,5,25
54,adaptation,5,15
55,adaptation,5,25
56,adaptation,5,20
57,adaptation,5,20
58,adaptation,5,15
59,adaptation,5,20
60,adaptation,5,15
61,adaptation,5,30
62,adaptation,5,15
63,adaptation,5,30
64,adaptation,5,20
65,adaptation,5,35
66,adaptation,5,15
67,adaptation,5,35
68,adaptation,5,15
69,adaptation,5,20
70,adaptation,5,15
71,adaptation,5,40
72,adaptation,5,35
73,adaptation,5,15
74,adaptation,5,15
75,adaptation,5,15
76,adaptation,5,15
77,adaptation,5,35
78,adaptation,5,20
79,adaptation,5,15
80,adaptation,5,40
81,adaptation,5,20
82,adaptation,5,25
83,adaptation,5,20
84,adaptation,5,15
85,adaptation,5,15
86,adaptation,5,40
87,adaptation,5,15
88,adaptation,5,40
89,adaptation,5,15
90,adaptation,5,20
91,adaptation,5,15
92,adaptation,5,35
93,adaptation,5,20
94,adaptation,5,15
95,adaptation,5,20
96,adaptation,5,25
97,adaptation,5,15
98,adaptation,5,35
99,adaptation,5,40
100,adaptation,5,15
101,adaptation,5,15
102,adaptation,5,25
103,adaptation,5,20
104,adaptation,5,15
105,adaptation,5,20
106,adaptation,5,15
107,adaptation,5,30
108,adaptation,5,30
109,adaptation,5,15
110,adaptation,5,15
111,adaptation,5,30
112,adaptation,5,15
113,adaptation,5,15
114,adaptation,5,20
115,adaptation,5,30
116,adaptation,5,30
