windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,15
2,adaptation,5,15
3,adaptation,5,15
4,adaptation,5,15
5,adaptation,5,40
6,adaptation,5,15
7,adaptation,5,30
8,adaptation,5,15
9,adaptation,5,35
10,adaptation,5,20
11,adaptation,5,25
12,adaptation,5,30
13,adaptation,5,30
14,adaptation,5,15
15,adaptation,5,15
16,adaptation,5,25
17,adaptation,5,15
18,adaptation,5,25
19,adaptation,5,15
20,adaptation,5,35
21,adaptation,5,25
22,adaptation,5,15
23,adaptation,5,20
24,adaptation,5,20
25,adaptation,5,15
26,adaptation,5,15
27,adaptation,5,25
28,adaptation,5,40
29,adaptation,5,25
30,adaptation,5,15
31,adaptation,5,15
32,adaptation,5,30
33,adaptation,5,20
34,adaptation,5,15
35,adaptation,5,25
36,adaptation,5,25
37,adaptation,5,35
38,adaptation,5,15
39,adaptation,5,15
40,adaptation,5,15
41,adaptation,5,20
42,adaptation,5,15
43,adaptation,5,15
44,adaptation,5,15
45,adaptation,5,40
46,adaptation,5,30
47,adaptation,5,30
48,adaptation,5,15
49,adaptation,5,25
50,adaptation,5,25
51,adaptation,5,20
52,adaptation,5,35
53,adaptation,5,20
54,adaptation,5,20
55,adaptation,5,25
56,adaptation,5,20
57,adaptation,5,25
58,adaptation,5,15
59,adaptation,5,30
60,adaptation,5,35
61,adaptation,5,40
62,adaptation,5,20
63,adaptation,5,20
64,adaptation,5,20
65,adaptation,5,15
66,adaptation,5,15
67,adaptation,5,30
68,adaptation,5,15
69,adaptation,5,15
70,adaptation,5,30
71,adaptation,5,20
72,adaptation,5,20
73,adaptation,5,35
74,adaptation,5,15
75,adaptation,5,40
76,adaptation,5,20
77,adaptation,5,20
78,adaptation,5,20
79,adaptation,5,35
80,adaptation,5,20
81,adaptation,5,15
82,adaptation,5,20
83,adaptation,5,25
84,adaptation,5,25
85,adaptation,5,20
86,adaptation,5,30
87,adaptation,5,25
88,adaptation,5,25
89,adaptation,5,20
90,adaptation,5,35
91,adaptation,5,15
92,adaptation,5,20
93,adaptation,5,30
94,adaptation,5,30
95,adaptation,5,35
96,adaptation,5,30
97,adaptation,5,25
98,adaptation,5,15
99,adaptation,5,35
100,adaptation,5,15
101,adaptation,5,15
102,adaptation,5,20
103,adaptation,5,20
104,adaptation,5,20
105,adaptation,5,25
106,adaptation,5,30
107,adaptation,5,30
108,adaptation,5,15
109,adaptation,5,35
110,adaptation,5,15
111,adaptation,5,20
112,adaptation,5,35
113,adaptation,5,15
114,adaptation,5,15
115,adaptation,5,25
116,adaptation,5,25
117,adaptation,5,15
118,adaptation,5,15
119,adaptation,5,40
120,adaptation,5,20
121,adaptation,5,40
122,adaptation,5,15
123,adaptation,5,15
124,adaptation,5,25
125,adaptation,5,25
126,adaptation,5,30
127,adaptation,5,15
128,adaptation,5,15
129,adaptation,5,40
130,adaptation,5,35
131,adaptation,5,35
132,adaptation,5,25
133,adaptation,5,15
134,adaptation,5,25
135,adaptation,5,15
136,adaptation,5,20
137,adaptation,5,15
138,adaptation,5,35
139,adaptation,5,15
140,adaptation,5,25
141,adaptation,5,15
142,adaptation,5,20
143,adaptation,5,20
144,adaptation,5,20
145,adaptation,5,30
146,adaptation,5,25
147,adaptation,5,20
148,baseline,5,15
149,baseline,5,15
150,baseline,5,15
151,baseline,5,15
152,baseline,5,15
153,baseline,5,15
154,baseline,5,15
155,baseline,5,15
156,baseline,5,30
157,baseline,5,30
158,baseline,5,30
159,baseline,5,35
160,baseline,5,40
161,baseline,5,15
162,baseline,5,40
163,baseline,5,15
164,baseline,5,15
165,baseline,5,15
166,baseline,5,20
167,baseline,5,25
168,baseline,5,15
169,baseline,5,35
170,baseline,5,15
171,baseline,5,15
172,baseline,5,40
173,baseline,5,40
174,baseline,5,35
175,baseline,5,30
176,baseline,5,15
177,baseline,5,15
178,baseline,5,15
179,baseline,5,30
180,baseline,5,35
181,baseline,5,30
182,baseline,5,35
183,baseline,5,30
184,baseline,5,20
185,baseline,5,20
186,baseline,5,15
187,baseline,5,35
188,baseline,5,25
189,baseline,5,35
190,baseline,5,25
191,baseline,5,15
192,baseline,5,25
193,baseline,5,20
194,baseline,5,15
195,baseline,5,35
196,baseline,5,35
197,baseline,5,15
198,baseline,5,15
199,baseline,5,15
200,baseline,5,15
201,baseline,5,15
202,baseline,5,20
203,baseline,5,20
204,baseline,5,30
205,baseline,5,40
206,baseline,5,15
207,baseline,5,15
208,baseline,5,30
209,baseline,5,20
210,baseline,5,40
211,baseline,5,15
212,baseline,5,30
213,baseline,5,30
214,baseline,5,25
215,baseline,5,25
216,baseline,5,30
217,baseline,5,30
218,baseline,5,20
219,baseline,5,35
220,baseline,5,30
221,baseline,5,15
222,baseline,5,40
223,baseline,5,40
224,baseline,5,30
225,baseline,5,35
226,baseline,5,20
227,baseline,5,15
228,baseline,5,15
229,baseline,5,35
230,baseline,5,15
231,baseline,5,15
232,baseline,5,20
233,baseline,5,15
