windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,30
2,adaptation,5,15
3,adaptation,5,20
4,adaptation,5,20
5,adaptation,5,30
6,adaptation,5,15
7,adaptation,5,30
8,adaptation,5,35
9,adaptation,5,35
10,adaptation,5,20
11,adaptation,5,15
12,adaptation,5,35
13,adaptation,5,15
14,adaptation,5,15
15,adaptation,5,15
16,adaptation,5,15
17,adaptation,5,15
18,adaptation,5,15
19,adaptation,5,15
20,adaptation,5,15
21,adaptation,5,30
22,adaptation,5,25
23,adaptation,5,15
24,adaptation,5,30
25,adaptation,5,15
26,adaptation,5,40
27,adaptation,5,25
28,adaptation,5,40
29,adaptation,5,35
30,adaptation,5,15
31,adaptation,5,25
32,adaptation,5,15
33,adaptation,5,15
34,adaptation,5,25
35,adaptation,5,20
36,adaptation,5,40
37,adaptation,5,25
38,adaptation,5,20
39,adaptation,5,15
40,adaptation,5,15
41,adaptation,5,15
42,adaptation,5,30
43,adaptation,5,30
44,adaptation,5,20
45,adaptation,5,15
46,adaptation,5,35
47,adaptation,5,35
48,adaptation,5,15
49,adaptation,5,25
50,adaptation,5,35
51,adaptation,5,15
52,adaptation,5,15
53,adaptation,5,35
54,adaptation,5,30
55,adaptation,5,25
56,adaptation,5,15
57,adaptation,5,25
58,adaptation,5,30
59,adaptation,5,20
60,adaptation,5,15
61,adaptation,5,15
62,adaptation,5,25
63,adaptation,5,15
64,adaptation,5,25
65,adaptation,5,15
66,adaptation,5,35
67,adaptation,5,25
68,adaptation,5,25
69,adaptation,5,40
70,adaptation,5,15
71,adaptation,5,30
72,adaptation,5,35
73,adaptation,5,15
74,adaptation,5,30
75,adaptation,5,35
76,adaptation,5,25
77,adaptation,5,15
78,adaptation,5,15
79,adaptation,5,15
80,adaptation,5,15
81,adaptation,5,30
82,adaptation,5,15
83,adaptation,5,25
84,adaptation,5,15
85,adaptation,5,20
86,adaptation,5,20
87,adaptation,5,15
88,adaptation,5,15
89,adaptation,5,30
90,adaptation,5,35
91,adaptation,5,15
92,adaptation,5,20
93,adaptation,5,15
94,adaptation,5,20
95,adaptation,5,15
96,adaptation,5,15
97,adaptation,5,30
98,adaptation,5,35
99,adaptation,5,15
100,adaptation,5,40
101,adaptation,5,15
102,adaptation,5,40
103,adaptation,5,15
104,adaptation,5,15
105,adaptation,5,20
106,adaptation,5,15
107,adaptation,5,35
108,adaptation,5,30
109,adaptation,5,15
110,adaptation,5,40
111,adaptation,5,15
112,adaptation,5,35
113,adaptation,5,40
114,adaptation,5,25
115,adaptation,5,20
116,adaptation,5,15
117,adaptation,5,35
118,adaptation,5,15
