windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,15
2,adaptation,5,40
3,adaptation,5,20
4,adaptation,5,20
5,adaptation,5,30
6,adaptation,5,15
7,adaptation,5,20
8,adaptation,5,20
9,adaptation,5,35
10,adaptation,5,15
11,adaptation,5,20
12,adaptation,5,15
13,adaptation,5,25
14,adaptation,5,25
15,adaptation,5,15
16,adaptation,5,15
17,adaptation,5,35
18,adaptation,5,15
19,adaptation,5,30
20,adaptation,5,20
21,adaptation,5,30
22,adaptation,5,40
23,adaptation,5,25
24,adaptation,5,25
25,adaptation,5,20
26,adaptation,5,25
27,adaptation,5,20
28,adaptation,5,15
29,adaptation,5,15
30,adaptation,5,15
31,adaptation,5,40
32,adaptation,5,35
33,adaptation,5,25
34,adaptation,5,40
35,adaptation,5,30
36,adaptation,5,40
37,adaptation,5,30
38,adaptation,5,15
39,adaptation,5,25
40,adaptation,5,15
41,adaptation,5,20
42,adaptation,5,30
43,adaptation,5,25
44,adaptation,5,40
45,adaptation,5,25
46,adaptation,5,15
47,adaptation,5,15
48,adaptation,5,20
49,adaptation,5,25
50,adaptation,5,20
51,adaptation,5,15
52,adaptation,5,20
53,adaptation,5,15
54,adaptation,5,15
55,adaptation,5,15
56,adaptation,5,15
57,adaptation,5,15
58,adaptation,5,40
59,adaptation,5,30
60,adaptation,5,40
61,adaptation,5,35
62,adaptation,5,25
63,adaptation,5,20
64,adaptation,5,35
65,adaptation,5,40
66,adaptation,5,20
67,adaptation,5,40
68,adaptation,5,30
69,adaptation,5,15
70,adaptation,5,15
71,adaptation,5,15
72,adaptation,5,30
73,adaptation,5,25
74,adaptation,5,30
75,adaptation,5,15
76,adaptation,5,40
77,adaptation,5,15
78,adaptation,5,30
79,adaptation,5,25
80,adaptation,5,25
81,adaptation,5,15
82,adaptation,5,25
83,adaptation,5,15
84,adaptation,5,30
85,adaptation,5,20
86,adaptation,5,15
87,adaptation,5,15
88,adaptation,5,35
89,adaptation,5,35
90,adaptation,5,15
91,adaptation,5,15
92,adaptation,5,20
93,adaptation,5,30
94,adaptation,5,20
95,adaptation,5,20
96,adaptation,5,35
97,adaptation,5,15
98,adaptation,5,20
99,adaptation,5,25
100,adaptation,5,30
101,adaptation,5,20
102,adaptation,5,15
103,adaptation,5,15
104,adaptation,5,30
105,adaptation,5,25
106,adaptation,5,20
107,adaptation,5,15
108,adaptation,5,35
109,adaptation,5,15
110,adaptation,5,20
111,adaptation,5,40
112,adaptation,5,15
113,adaptation,5,25
114,adaptation,5,35
115,adaptation,5,15
116,adaptation,5,20
117,adaptation,5,15
118,adaptation,5,35
119,adaptation,5,30
120,baseline,5,35
121,baseline,5,15
122,baseline,5,25
123,baseline,5,35
124,baseline,5,25
125,baseline,5,20
126,baseline,5,20
127,baseline,5,30
128,baseline,5,30
129,baseline,5,20
130,baseline,5,20
131,baseline,5,35
132,baseline,5,35
133,baseline,5,15
134,baseline,5,35
135,baseline,5,20
136,baseline,5,25
137,baseline,5,15
138,baseline,5,25
139,baseline,5,25
140,baseline,5,35
141,baseline,5,15
142,baseline,5,30
143,baseline,5,25
144,baseline,5,30
145,baseline,5,40
146,baseline,5,25
147,baseline,5,30
148,baseline,5,15
149,baseline,5,15
150,baseline,5,20
151,baseline,5,20
152,baseline,5,15
153,baseline,5,15
154,baseline,5,15
155,baseline,5,35
156,baseline,5,35
157,baseline,5,40
158,baseline,5,20
159,baseline,5,15
160,baseline,5,30
161,baseline,5,30
162,baseline,5,20
163,baseline,5,30
164,baseline,5,20
165,baseline,5,15
166,baseline,5,15
167,baseline,5,30
168,baseline,5,30
169,baseline,5,30
170,baseline,5,20
171,baseline,5,35
172,baseline,5,40
173,baseline,5,25
174,baseline,5,20
175,baseline,5,20
176,baseline,5,30
177,baseline,5,35
178,baseline,5,30
179,baseline,5,30
180,baseline,5,25
181,baseline,5,35
182,baseline,5,15
183,baseline,5,25
184,baseline,5,15
185,baseline,5,25
186,baseline,5,15
187,baseline,5,30
188,baseline,5,30
189,baseline,5,15
190,baseline,5,25
191,baseline,5,25
192,baseline,5,25
193,baseline,5,35
194,baseline,5,20
195,baseline,5,35
196,baseline,5,40
197,baseline,5,30
198,baseline,5,20
199,baseline,5,20
200,baseline,5,35
201,baseline,5,30
202,baseline,5,30
203,baseline,5,30
204,baseline,5,35
205,baseline,5,20
206,TP_baseline_to_tsst-prep,5,20
207,TP_baseline_to_tsst-prep,5,35
208,TP_baseline_to_tsst-prep,5,40
209,TP_baseline_to_tsst-prep,5,25
210,TP_baseline_to_tsst-prep,5,25
211,TP_baseline_to_tsst-prep,5,30
212,TP_baseline_to_tsst-prep,5,20
213,TP_baseline_to_tsst-prep,5,40
214,tsst-prep,5,20
215,tsst-prep,5,15
216,tsst-prep,5,25
217,tsst-prep,5,25
218,tsst-prep,5,25
219,tsst-prep,5,20
220,tsst-prep,5,20
221,tsst-prep,5,30
222,tsst-prep,5,15
223,tsst-prep,5,35
224,tsst-prep,5,15
225,tsst-prep,5,20
226,tsst-prep,5,25
227,tsst-prep,5,30
228,tsst-prep,5,15
229,tsst-prep,5,35
230,tsst-prep,5,15
231,tsst-prep,5,40
232,tsst-prep,5,20
233,tsst-prep,5,30
234,tsst-prep,5,15
235,tsst-prep,5,15
236,tsst-prep,5,25
237,tsst-prep,5,15
238,tsst-prep,5,30
239,tsst-prep,5,15
240,tsst-prep,5,35
241,tsst-prep,5,20
242,tsst-prep,5,20
243,tsst-prep,5,15
244,tsst-prep,5,20
245,tsst-prep,5,15
246,tsst-prep,5,30
247,tsst-prep,5,20
248,tsst-prep,5,15
249,tsst-prep,5,40
250,tsst-prep,5,35
251,tsst-prep,5,40
252,tsst-prep,5,30
253,tsst-prep,5,40
254,tsst-prep,5,40
255,tsst-prep,5,30
256,tsst-prep,5,20
257,tsst-prep,5,30
258,tsst-prep,5,15
259,tsst-prep,5,15
260,tsst-prep,5,35
261,tsst-prep,5,20
262,tsst-prep,5,40
263,tsst-prep,5,15
264,tsst-prep,5,20
265,tsst-prep,5,25
266,tsst-prep,5,30
267,tsst-prep,5,15
268,tsst-prep,5,20
269,tsst-prep,5,15
270,tsst-prep,5,20
271,tsst-prep,5,15
272,tsst-prep,5,25
273,tsst-prep,5,40
274,tsst-prep,5,20
275,tsst-prep,5,25
276,tsst-prep,5,15
277,tsst-prep,5,35
278,tsst-prep,5,15
279,tsst-prep,5,20
280,tsst-prep,5,40
281,tsst-prep,5,40
282,tsst-prep,5,25
283,tsst-prep,5,15
284,tsst-prep,5,25
285,tsst-prep,5,25
286,tsst-prep,5,25
287,tsst-prep,5,35
288,tsst-prep,5,25
289,tsst-prep,5,25
290,tsst-prep,5,35
291,tsst-prep,5,35
292,tsst-prep,5,30
293,tsst-prep,5,15
294,tsst-prep,5,15
295,tsst-prep,5,20
296,tsst-prep,5,40
297,tsst-prep,5,15
298,tsst-prep,5,25
299,tsst-prep,5,25
300,tsst-prep,5,20
301,tsst-speech,5,15
302,tsst-speech,5,15
303,tsst-speech,5,15
304,tsst-speech,5,15
305,tsst-speech,5,15
306,tsst-speech,5,20
307,tsst-speech,5,15
308,tsst-speech,5,35
309,tsst-speech,5,15
310,tsst-speech,5,20
311,tsst-speech,5,30
312,tsst-speech,5,40
313,tsst-speech,5,30
314,tsst-speech,5,15
315,tsst-speech,5,15
316,tsst-speech,5,15
317,tsst-speech,5,20
318,tsst-speech,5,20
319,tsst-speech,5,25
320,tsst-speech,5,20
321,tsst-speech,5,40
322,tsst-speech,5,20
323,tsst-speech,5,25
324,tsst-speech,5,15
325,tsst-speech,5,20
326,tsst-speech,5,25
327,tsst-speech,5,25
328,tsst-speech,5,15
329,tsst-speech,5,20
330,tsst-speech,5,20
331,tsst-speech,5,25
332,tsst-speech,5,15
333,tsst-speech,5,15
334,tsst-speech,5,30
335,tsst-speech,5,20
336,tsst-speech,5,30
337,tsst-speech,5,15
338,tsst-speech,5,15
339,tsst-speech,5,20
340,tsst-speech,5,25
341,tsst-speech,5,25
342,tsst-speech,5,40
343,tsst-speech,5,25
344,tsst-speech,5,20
345,tsst-speech,5,25
346,tsst-speech,5,25
347,tsst-speech,5,25
348,tsst-speech,5,35
349,tsst-speech,5,15
350,tsst-speech,5,15
351,tsst-speech,5,35
352,tsst-speech,5,35
353,tsst-speech,5,40
354,tsst-speech,5,15
355,tsst-speech,5,20
356,tsst-speech,5,40
357,tsst-speech,5,15
358,tsst-speech,5,15
359,tsst-speech,5,25
360,tsst-speech,5,25
361,tsst-speech,5,15
362,tsst-speech,5,25
363,tsst-speech,5,25
364,tsst-speech,5,30
365,tsst-speech,5,30
366,tsst-speech,5,25
367,tsst-speech,5,25
368,tsst-speech,5,25
369,tsst-speech,5,25
370,tsst-speech,5,20
371,tsst-speech,5,25
372,tsst-speech,5,25
373,tsst-speech,5,25
374,tsst-speech,5,40
375,tsst-speech,5,35
376,tsst-speech,5,30
377,tsst-speech,5,40
378,tsst-speech,5,15
379,tsst-speech,5,15
380,tsst-speech,5,20
381,tsst-speech,5,20
382,tsst-speech,5,30
383,tsst-speech,5,40
384,tsst-speech,5,20
385,tsst-speech,5,20
386,tsst-speech,5,15
387,tsst-speech,5,20
388,TP_tsst-speech_to_meditation-1,5,15
389,TP_tsst-speech_to_meditation-1,5,35
390,TP_tsst-speech_to_meditation-1,5,20
391,TP_tsst-speech_to_meditation-1,5,20
392,TP_tsst-speech_to_meditation-1,5,15
393,TP_tsst-speech_to_meditation-1,5,35
394,TP_tsst-speech_to_meditation-1,5,15
395,TP_tsst-speech_to_meditation-1,5,15
396,TP_tsst-speech_to_meditation-1,5,15
397,meditation-1,5,20
398,meditation-1,5,40
399,meditation-1,5,25
400,meditation-1,5,20
401,meditation-1,5,25
402,meditation-1,5,20
403,meditation-1,5,40
404,meditation-1,5,15
405,meditation-1,5,15
406,meditation-1,5,40
407,meditation-1,5,15
408,meditation-1,5,20
409,meditation-1,5,20
410,meditation-1,5,35
411,meditation-1,5,35
412,meditation-1,5,15
413,meditation-1,5,40
414,meditation-1,5,40
415,meditation-1,5,20
416,meditation-1,5,25
417,meditation-1,5,15
418,meditation-1,5,40
419,meditation-1,5,25
420,meditation-1,5,35
421,meditation-1,5,15
422,meditation-1,5,15
423,meditation-1,5,20
424,meditation-1,5,15
425,meditation-1,5,20
426,meditation-1,5,20
427,meditation-1,5,40
428,meditation-1,5,15
429,meditation-1,5,20
430,meditation-1,5,35
431,meditation-1,5,30
432,meditation-1,5,25
433,meditation-1,5,25
434,meditation-1,5,30
435,meditation-1,5,40
436,meditation-1,5,20
437,meditation-1,5,15
438,meditation-1,5,40
439,meditation-1,5,15
440,meditation-1,5,15
441,meditation-1,5,20
442,meditation-1,5,25
443,meditation-1,5,40
444,meditation-1,5,15
445,meditation-1,5,30
446,meditation-1,5,35
447,meditation-1,5,30
448,meditation-1,5,15
449,meditation-1,5,15
450,meditation-1,5,15
451,meditation-1,5,20
452,meditation-1,5,15
453,meditation-1,5,25
454,meditation-1,5,15
455,meditation-1,5,40
456,meditation-1,5,15
457,meditation-1,5,35
458,meditation-1,5,20
459,meditation-1,5,25
460,meditation-1,5,20
461,meditation-1,5,25
462,meditation-1,5,25
463,meditation-1,5,25
464,meditation-1,5,35
465,meditation-1,5,35
466,meditation-1,5,15
467,meditation-1,5,15
468,meditation-1,5,15
469,meditation-1,5,15
470,meditation-1,5,20
471,meditation-1,5,20
472,meditation-1,5,20
473,meditation-1,5,35
474,meditation-1,5,15
475,meditation-1,5,20
476,meditation-1,5,15
477,meditation-1,5,15
478,meditation-1,5,40
479,meditation-1,5,15
480,meditation-1,5,15
481,meditation-1,5,20
482,meditation-1,5,20
483,meditation-1,5,25
484,meditation-1,5,20
485,meditation-1,5,40
486,meditation-1,5,30
487,meditation-1,5,35
488,meditation-1,5,35
489,meditation-1,5,15
490,meditation-1,5,15
491,meditation-1,5,15
492,meditation-1,5,25
493,meditation-1,5,20
494,meditation-1,5,25
495,meditation-1,5,15
496,meditation-1,5,20
497,meditation-1,5,15
498,meditation-1,5,20
499,meditation-1,5,25
500,meditation-1,5,25
501,meditation-1,5,35
502,meditation-1,5,30
503,meditation-1,5,25
504,meditation-1,5,35
505,meditation-1,5,20
506,meditation-1,5,15
507,meditation-1,5,20
508,meditation-1,5,15
509,meditation-1,5,25
510,meditation-1,5,15
511,meditation-1,5,15
512,meditation-1,5,15
513,meditation-1,5,30
514,meditation-1,5,20
515,meditation-1,5,25
516,meditation-1,5,30
517,meditation-1,5,30
518,meditation-1,5,35
519,meditation-1,5,40
520,meditation-1,5,25
521,meditation-1,5,25
522,meditation-1,5,15
523,meditation-1,5,15
