windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,20
2,adaptation,5,40
3,adaptation,5,20
4,adaptation,5,35
5,adaptation,5,15
6,adaptation,5,15
7,adaptation,5,40
8,adaptation,5,20
9,adaptation,5,30
10,adaptation,5,35
11,adaptation,5,25
12,adaptation,5,20
13,adaptation,5,30
14,adaptation,5,20
15,adaptation,5,20
16,adaptation,5,25
17,adaptation,5,15
18,adaptation,5,30
19,adaptation,5,35
20,adaptation,5,30
21,adaptation,5,30
22,adaptation,5,20
23,adaptation,5,30
24,adaptation,5,30
25,adaptation,5,30
26,adaptation,5,25
27,adaptation,5,40
28,adaptation,5,35
29,adaptation,5,30
30,adaptation,5,30
31,adaptation,5,25
32,adaptation,5,30
33,adaptation,5,25
34,adaptation,5,25
35,adaptation,5,30
36,adaptation,5,35
37,adaptation,5,35
38,adaptation,5,30
39,adaptation,5,40
40,adaptation,5,20
41,adaptation,5,30
42,adaptation,5,20
43,adaptation,5,20
44,adaptation,5,20
45,adaptation,5,15
46,adaptation,5,35
47,adaptation,5,40
48,adaptation,5,25
49,adaptation,5,25
50,adaptation,5,25
51,adaptation,5,25
52,adaptation,5,40
53,adaptation,5,40
54,adaptation,5,20
55,adaptation,5,20
56,adaptation,5,30
57,adaptation,5,30
58,adaptation,5,25
59,adaptation,5,30
60,adaptation,5,20
61,adaptation,5,25
62,adaptation,5,35
63,adaptation,5,40
64,adaptation,5,25
65,adaptation,5,35
66,adaptation,5,25
67,adaptation,5,35
68,adaptation,5,30
69,adaptation,5,20
70,adaptation,5,30
71,adaptation,5,20
72,adaptation,5,30
73,adaptation,5,25
74,adaptation,5,20
75,adaptation,5,35
76,adaptation,5,30
77,adaptation,5,30
78,adaptation,5,35
79,adaptation,5,20
80,adaptation,5,15
81,adaptation,5,15
82,adaptation,5,30
83,adaptation,5,20
84,adaptation,5,20
85,adaptation,5,25
86,adaptation,5,15
87,adaptation,5,35
88,adaptation,5,35
89,adaptation,5,25
90,adaptation,5,40
91,adaptation,5,40
92,adaptation,5,15
93,adaptation,5,25
94,adaptation,5,20
95,adaptation,5,35
96,adaptation,5,20
97,adaptation,5,20
98,adaptation,5,15
99,adaptation,5,30
100,adaptation,5,30
101,adaptation,5,30
102,adaptation,5,30
103,adaptation,5,30
104,adaptation,5,25
105,adaptation,5,35
106,adaptation,5,35
107,adaptation,5,15
108,adaptation,5,25
109,adaptation,5,35
110,adaptation,5,35
111,adaptation,5,25
112,adaptation,5,35
113,adaptation,5,20
114,adaptation,5,20
115,adaptation,5,20
116,adaptation,5,35
117,adaptation,5,20
118,adaptation,5,20
119,adaptation,5,40
120,adaptation,5,15
121,adaptation,5,20
122,adaptation,5,20
123,adaptation,5,20
124,adaptation,5,25
125,adaptation,5,15
126,adaptation,5,25
127,adaptation,5,20
128,adaptation,5,25
129,adaptation,5,20
130,adaptation,5,40
131,adaptation,5,15
132,adaptation,5,30
133,adaptation,5,30
134,adaptation,5,25
135,adaptation,5,30
136,adaptation,5,30
137,adaptation,5,20
138,adaptation,5,20
139,adaptation,5,40
140,adaptation,5,20
141,adaptation,5,20
142,adaptation,5,35
143,adaptation,5,35
144,adaptation,5,35
145,adaptation,5,25
146,adaptation,5,20
147,baseline,5,30
148,baseline,5,25
149,baseline,5,20
150,baseline,5,35
151,baseline,5,20
152,baseline,5,30
153,baseline,5,40
154,baseline,5,25
155,baseline,5,30
156,baseline,5,35
157,baseline,5,35
158,baseline,5,40
159,baseline,5,40
160,baseline,5,30
161,baseline,5,20
162,baseline,5,25
163,baseline,5,25
164,baseline,5,30
165,baseline,5,35
166,baseline,5,15
167,baseline,5,35
168,baseline,5,40
169,baseline,5,35
170,baseline,5,25
171,baseline,5,15
172,baseline,5,25
173,baseline,5,40
174,baseline,5,25
175,baseline,5,30
176,baseline,5,30
177,baseline,5,35
178,baseline,5,20
179,baseline,5,20
180,baseline,5,20
181,baseline,5,35
182,baseline,5,35
183,baseline,5,35
184,baseline,5,30
185,baseline,5,25
186,baseline,5,15
187,baseline,5,40
188,baseline,5,25
189,baseline,5,35
190,baseline,5,40
191,baseline,5,35
192,baseline,5,25
193,baseline,5,25
194,baseline,5,35
195,baseline,5,25
196,baseline,5,35
197,baseline,5,40
198,baseline,5,40
199,baseline,5,30
200,baseline,5,40
201,baseline,5,30
202,baseline,5,20
203,baseline,5,35
204,baseline,5,25
205,baseline,5,15
206,baseline,5,20
207,baseline,5,15
208,baseline,5,30
209,baseline,5,15
210,baseline,5,25
211,baseline,5,20
212,baseline,5,40
213,baseline,5,25
214,baseline,5,30
215,baseline,5,30
216,baseline,5,25
217,baseline,5,20
218,baseline,5,35
219,baseline,5,35
220,baseline,5,35
221,baseline,5,20
222,baseline,5,20
223,baseline,5,25
224,baseline,5,40
225,baseline,5,15
226,baseline,5,15
227,baseline,5,25
228,baseline,5,20
229,baseline,5,20
230,baseline,5,25
231,baseline,5,20
232,baseline,5,30
233,TP_baseline_to_tsst-prep,5,35
234,TP_baseline_to_tsst-prep,5,20
235,TP_baseline_to_tsst-prep,5,25
236,TP_baseline_to_tsst-prep,5,30
237,TP_baseline_to_tsst-prep,5,35
238,TP_baseline_to_tsst-prep,5,35
239,TP_baseline_to_tsst-prep,5,20
240,TP_baseline_to_tsst-prep,5,20
241,TP_baseline_to_tsst-prep,5,20
242,TP_baseline_to_tsst-prep,5,30
243,TP_baseline_to_tsst-prep,5,20
244,TP_baseline_to_tsst-prep,5,25
245,TP_baseline_to_tsst-prep,5,25
246,TP_baseline_to_tsst-prep,5,30
247,TP_baseline_to_tsst-prep,5,15
248,TP_baseline_to_tsst-prep,5,40
249,TP_baseline_to_tsst-prep,5,25
250,TP_baseline_to_tsst-prep,5,20
251,TP_baseline_to_tsst-prep,5,35
252,tsst-prep,5,15
253,tsst-prep,5,30
254,tsst-prep,5,15
255,tsst-prep,5,15
256,tsst-prep,5,15
257,tsst-prep,5,15
258,tsst-prep,5,20
259,tsst-prep,5,20
260,tsst-prep,5,25
261,tsst-prep,5,35
262,tsst-prep,5,35
263,tsst-prep,5,35
