windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,30
2,adaptation,5,20
3,adaptation,5,15
4,adaptation,5,15
5,adaptation,5,15
6,adaptation,5,25
7,adaptation,5,35
8,adaptation,5,15
9,adaptation,5,15
10,adaptation,5,40
11,adaptation,5,35
12,adaptation,5,15
13,adaptation,5,25
14,adaptation,5,15
15,adaptation,5,40
16,adaptation,5,40
17,adaptation,5,15
18,adaptation,5,15
19,adaptation,5,20
20,adaptation,5,25
21,adaptation,5,20
22,adaptation,5,15
23,adaptation,5,30
24,adaptation,5,25
25,adaptation,5,35
26,adaptation,5,15
27,adaptation,5,30
28,adaptation,5,40
29,adaptation,5,35
30,adaptation,5,15
31,adaptation,5,15
32,adaptation,5,15
33,adaptation,5,15
34,adaptation,5,15
35,adaptation,5,20
36,adaptation,5,15
37,adaptation,5,35
38,adaptation,5,40
39,adaptation,5,20
40,adaptation,5,25
41,adaptation,5,30
42,adaptation,5,30
43,adaptation,5,25
44,adaptation,5,15
45,adaptation,5,25
46,adaptation,5,15
47,adaptation,5,35
48,adaptation,5,15
49,adaptation,5,20
50,adaptation,5,15
51,adaptation,5,30
52,adaptation,5,20
53,adaptation,5,15
54,adaptation,5,40
55,adaptation,5,35
56,adaptation,5,40
57,adaptation,5,15
58,adaptation,5,35
59,adaptation,5,20
60,adaptation,5,25
61,adaptation,5,35
62,adaptation,5,25
63,adaptation,5,30
64,adaptation,5,15
65,adaptation,5,35
66,adaptation,5,40
67,adaptation,5,15
68,adaptation,5,40
69,adaptation,5,25
70,adaptation,5,20
71,adaptation,5,30
72,adaptation,5,25
73,adaptation,5,20
74,adaptation,5,15
75,adaptation,5,20
76,adaptation,5,30
77,adaptation,5,15
78,adaptation,5,20
79,adaptation,5,20
80,adaptation,5,20
81,adaptation,5,20
82,adaptation,5,25
83,adaptation,5,15
84,adaptation,5,20
85,adaptation,5,35
86,adaptation,5,15
87,adaptation,5,35
88,adaptation,5,15
89,adaptation,5,20
90,adaptation,5,15
91,adaptation,5,15
92,adaptation,5,15
93,adaptation,5,15
94,adaptation,5,25
95,adaptation,5,15
96,adaptation,5,15
97,adaptation,5,15
98,adaptation,5,25
99,adaptation,5,20
100,adaptation,5,25
101,adaptation,5,20
102,adaptation,5,20
103,adaptation,5,15
104,adaptation,5,40
105,adaptation,5,25
106,adaptation,5,30
107,adaptation,5,35
108,adaptation,5,15
109,adaptation,5,20
110,adaptation,5,15
111,adaptation,5,15
112,adaptation,5,15
113,adaptation,5,30
114,adaptation,5,15
115,adaptation,5,30
116,adaptation,5,15
117,adaptation,5,15
118,adaptation,5,15
119,adaptation,5,30
120,adaptation,5,15
121,adaptation,5,15
122,adaptation,5,40
123,adaptation,5,15
