windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,15
2,adaptation,5,20
3,adaptation,5,15
4,adaptation,5,15
5,adaptation,5,30
6,adaptation,5,15
7,adaptation,5,20
8,adaptation,5,40
9,adaptation,5,15
10,adaptation,5,15
11,adaptation,5,15
12,adaptation,5,25
13,adaptation,5,15
14,adaptation,5,15
15,adaptation,5,15
16,adaptation,5,15
17,adaptation,5,15
18,adaptation,5,20
19,adaptation,5,25
20,adaptation,5,15
21,adaptation,5,15
22,adaptation,5,20
23,adaptation,5,15
24,adaptation,5,25
25,adaptation,5,15
26,adaptation,5,25
27,adaptation,5,20
28,adaptation,5,15
29,adaptation,5,40
30,adaptation,5,15
31,adaptation,5,30
32,adaptation,5,30
33,adaptation,5,15
34,adaptation,5,15
35,adaptation,5,15
36,adaptation,5,15
37,adaptation,5,15
38,adaptation,5,15
39,adaptation,5,30
40,adaptation,5,20
41,adaptation,5,20
42,adaptation,5,20
43,adaptation,5,15
44,adaptation,5,20
45,adaptation,5,20
46,adaptation,5,20
47,adaptation,5,35
48,adaptation,5,30
49,adaptation,5,20
50,adaptation,5,30
51,adaptation,5,15
52,adaptation,5,15
53,adaptation,5,30
54,adaptation,5,15
55,adaptation,5,25
56,adaptation,5,15
57,adaptation,5,25
58,adaptation,5,15
59,adaptation,5,15
60,adaptation,5,40
61,adaptation,5,15
62,adaptation,5,30
63,adaptation,5,20
64,adaptation,5,20
65,adaptation,5,15
66,adaptation,5,40
67,adaptation,5,20
68,adaptation,5,15
69,adaptation,5,15
70,adaptation,5,40
71,adaptation,5,15
72,adaptation,5,15
73,adaptation,5,15
74,adaptation,5,15
75,adaptation,5,15
76,adaptation,5,15
77,adaptation,5,35
78,adaptation,5,15
79,adaptation,5,15
80,adaptation,5,25
81,adaptation,5,30
82,adaptation,5,30
83,adaptation,5,30
84,adaptation,5,15
85,adaptation,5,20
86,adaptation,5,15
87,adaptation,5,15
88,adaptation,5,15
89,adaptation,5,15
90,adaptation,5,40
91,adaptation,5,20
92,adaptation,5,35
93,adaptation,5,15
94,adaptation,5,15
95,adaptation,5,15
96,adaptation,5,20
97,adaptation,5,15
98,adaptation,5,15
99,adaptation,5,15
100,adaptation,5,25
101,adaptation,5,15
102,adaptation,5,15
103,adaptation,5,40
104,adaptation,5,20
105,adaptation,5,15
106,adaptation,5,15
107,adaptation,5,30
108,adaptation,5,15
109,adaptation,5,15
110,adaptation,5,15
111,adaptation,5,15
112,adaptation,5,30
113,adaptation,5,15
114,adaptation,5,25
115,adaptation,5,15
116,adaptation,5,25
117,adaptation,5,15
118,adaptation,5,15
119,adaptation,5,15
120,adaptation,5,15
121,adaptation,5,25
122,adaptation,5,15
123,adaptation,5,15
124,adaptation,5,15
125,adaptation,5,20
126,adaptation,5,15
127,adaptation,5,15
128,adaptation,5,25
129,adaptation,5,20
130,adaptation,5,35
131,adaptation,5,20
132,adaptation,5,15
133,adaptation,5,15
134,adaptation,5,15
135,adaptation,5,15
136,adaptation,5,15
137,adaptation,5,35
138,adaptation,5,15
139,adaptation,5,35
140,adaptation,5,20
141,adaptation,5,25
142,adaptation,5,20
143,adaptation,5,20
144,adaptation,5,20
145,adaptation,5,20
146,adaptation,5,15
147,adaptation,5,15
148,baseline,5,40
149,baseline,5,15
150,baseline,5,15
151,baseline,5,20
152,baseline,5,40
153,baseline,5,15
154,baseline,5,15
155,baseline,5,15
156,baseline,5,15
157,baseline,5,30
158,baseline,5,20
159,baseline,5,20
160,baseline,5,15
161,baseline,5,20
162,baseline,5,15
163,baseline,5,25
164,baseline,5,15
165,baseline,5,15
166,baseline,5,15
167,baseline,5,15
168,baseline,5,15
169,baseline,5,15
170,baseline,5,15
171,baseline,5,15
172,baseline,5,25
173,baseline,5,25
174,baseline,5,25
175,baseline,5,30
176,baseline,5,15
177,baseline,5,15
178,baseline,5,15
179,baseline,5,15
180,baseline,5,15
181,baseline,5,25
182,baseline,5,15
183,baseline,5,15
184,baseline,5,15
185,baseline,5,20
186,baseline,5,15
187,baseline,5,15
188,baseline,5,15
189,baseline,5,20
190,baseline,5,15
191,baseline,5,35
192,baseline,5,15
193,baseline,5,15
194,baseline,5,30
195,baseline,5,15
196,baseline,5,15
197,baseline,5,15
198,baseline,5,15
199,baseline,5,30
200,baseline,5,15
201,baseline,5,20
202,baseline,5,15
203,baseline,5,15
204,baseline,5,15
205,baseline,5,15
206,baseline,5,15
207,baseline,5,15
208,baseline,5,15
209,baseline,5,40
210,baseline,5,15
211,baseline,5,15
212,baseline,5,35
213,baseline,5,15
214,baseline,5,20
215,baseline,5,15
216,baseline,5,20
217,baseline,5,15
218,baseline,5,15
219,baseline,5,15
220,baseline,5,40
221,baseline,5,15
222,baseline,5,20
223,baseline,5,15
224,baseline,5,15
225,baseline,5,15
226,baseline,5,15
227,baseline,5,25
228,baseline,5,15
229,baseline,5,15
230,baseline,5,15
231,baseline,5,25
232,baseline,5,15
233,baseline,5,15
234,baseline,5,35
235,TP_baseline_to_tsst-prep,5,25
236,TP_baseline_to_tsst-prep,5,25
237,TP_baseline_to_tsst-prep,5,15
238,TP_baseline_to_tsst-prep,5,30
239,TP_baseline_to_tsst-prep,5,15
240,TP_baseline_to_tsst-prep,5,15
241,TP_baseline_to_tsst-prep,5,15
242,TP_baseline_to_tsst-prep,5,15
243,TP_baseline_to_tsst-prep,5,15
244,TP_baseline_to_tsst-prep,5,40
245,TP_baseline_to_tsst-prep,5,15
246,TP_baseline_to_tsst-prep,5,20
247,TP_baseline_to_tsst-prep,5,30
248,TP_baseline_to_tsst-prep,5,15
249,TP_baseline_to_tsst-prep,5,15
250,TP_baseline_to_tsst-prep,5,30
251,TP_baseline_to_tsst-prep,5,30
252,TP_baseline_to_tsst-prep,5,15
253,TP_baseline_to_tsst-prep,5,15
254,TP_baseline_to_tsst-prep,5,15
255,TP_baseline_to_tsst-prep,5,15
256,tsst-prep,5,20
257,tsst-prep,5,15
258,tsst-prep,5,30
259,tsst-prep,5,15
260,tsst-prep,5,15
261,tsst-prep,5,15
262,tsst-prep,5,15
263,tsst-prep,5,35
264,tsst-prep,5,15
265,tsst-prep,5,15
266,tsst-prep,5,35
267,tsst-prep,5,15
268,tsst-prep,5,15
269,tsst-prep,5,15
270,tsst-prep,5,15
271,tsst-prep,5,15
272,tsst-prep,5,15
273,tsst-prep,5,20
274,tsst-prep,5,15
275,tsst-prep,5,15
276,tsst-prep,5,15
277,tsst-prep,5,15
278,tsst-prep,5,15
279,tsst-prep,5,15
280,tsst-prep,5,15
281,tsst-prep,5,20
282,tsst-prep,5,20
283,tsst-prep,5,20
