windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,15
2,adaptation,5,15
3,adaptation,5,30
4,adaptation,5,15
5,adaptation,5,25
6,adaptation,5,40
7,adaptation,5,15
8,adaptation,5,30
9,adaptation,5,15
10,adaptation,5,35
11,adaptation,5,20
12,adaptation,5,20
13,adaptation,5,20
14,adaptation,5,15
15,adaptation,5,40
16,adaptation,5,15
17,adaptation,5,35
18,adaptation,5,15
19,adaptation,5,20
20,adaptation,5,30
21,adaptation,5,15
22,adaptation,5,15
23,adaptation,5,15
24,adaptation,5,20
25,adaptation,5,15
26,adaptation,5,35
27,adaptation,5,30
28,adaptation,5,30
29,adaptation,5,15
30,adaptation,5,15
31,adaptation,5,25
32,adaptation,5,35
33,adaptation,5,25
34,adaptation,5,30
35,adaptation,5,15
36,adaptation,5,30
37,adaptation,5,30
38,adaptation,5,15
39,adaptation,5,25
40,adaptation,5,15
41,adaptation,5,15
42,adaptation,5,15
43,adaptation,5,15
44,adaptation,5,15
45,adaptation,5,20
46,adaptation,5,35
47,adaptation,5,15
48,adaptation,5,20
49,adaptation,5,30
50,adaptation,5,15
51,adaptation,5,20
52,adaptation,5,15
53,adaptation,5,15
54,adaptation,5,25
55,adaptation,5,15
56,adaptation,5,15
57,adaptation,5,35
58,adaptation,5,25
59,adaptation,5,30
60,adaptation,5,15
61,adaptation,5,25
62,adaptation,5,15
63,adaptation,5,15
64,adaptation,5,15
65,adaptation,5,15
66,adaptation,5,15
67,adaptation,5,15
68,adaptation,5,40
69,adaptation,5,15
70,adaptation,5,15
71,adaptation,5,15
72,adaptation,5,25
73,adaptation,5,25
74,adaptation,5,30
75,adaptation,5,15
76,adaptation,5,25
77,adaptation,5,30
78,adaptation,5,25
79,adaptation,5,15
80,adaptation,5,20
81,adaptation,5,30
82,adaptation,5,15
83,adaptation,5,15
84,adaptation,5,15
85,adaptation,5,15
86,adaptation,5,35
87,adaptation,5,15
88,adaptation,5,40
89,adaptation,5,15
90,adaptation,5,15
91,adaptation,5,20
92,adaptation,5,15
93,adaptation,5,30
94,adaptation,5,15
95,adaptation,5,15
96,adaptation,5,15
97,adaptation,5,20
98,adaptation,5,15
99,adaptation,5,35
100,adaptation,5,25
101,adaptation,5,30
102,adaptation,5,15
103,adaptation,5,15
104,adaptation,5,15
105,adaptation,5,20
106,adaptation,5,15
107,adaptation,5,35
108,adaptation,5,40
109,adaptation,5,40
110,adaptation,5,15
111,adaptation,5,40
112,adaptation,5,15
113,adaptation,5,15
114,adaptation,5,15
115,adaptation,5,15
116,adaptation,5,25
117,adaptation,5,40
118,adaptation,5,35
119,adaptation,5,15
120,adaptation,5,15
121,adaptation,5,25
122,adaptation,5,15
123,adaptation,5,40
124,adaptation,5,40
125,adaptation,5,15
126,adaptation,5,15
127,adaptation,5,15
128,adaptation,5,25
129,adaptation,5,30
130,adaptation,5,15
131,adaptation,5,15
132,adaptation,5,15
133,adaptation,5,20
134,adaptation,5,15
135,adaptation,5,15
136,adaptation,5,15
137,adaptation,5,15
138,adaptation,5,15
139,adaptation,5,15
140,adaptation,5,15
141,adaptation,5,15
142,adaptation,5,15
143,adaptation,5,40
144,adaptation,5,15
145,adaptation,5,20
146,adaptation,5,20
147,adaptation,5,15
148,baseline,5,15
149,baseline,5,30
150,baseline,5,15
151,baseline,5,15
152,baseline,5,40
153,baseline,5,15
154,baseline,5,15
155,baseline,5,40
156,baseline,5,15
157,baseline,5,30
158,baseline,5,40
159,baseline,5,15
160,baseline,5,25
161,baseline,5,35
162,baseline,5,15
163,baseline,5,35
164,baseline,5,25
165,baseline,5,15
166,baseline,5,15
167,baseline,5,25
168,baseline,5,15
169,baseline,5,15
170,baseline,5,15
171,baseline,5,30
172,baseline,5,15
173,baseline,5,15
174,baseline,5,15
175,baseline,5,15
176,baseline,5,30
177,baseline,5,30
178,baseline,5,30
179,baseline,5,15
180,baseline,5,25
181,baseline,5,15
182,baseline,5,30
183,baseline,5,20
184,baseline,5,15
185,baseline,5,15
186,baseline,5,15
187,baseline,5,15
188,baseline,5,35
189,baseline,5,40
190,baseline,5,15
191,baseline,5,15
192,baseline,5,15
193,baseline,5,20
194,baseline,5,15
195,baseline,5,15
196,baseline,5,35
197,baseline,5,25
198,baseline,5,15
199,baseline,5,15
200,baseline,5,30
201,baseline,5,15
202,baseline,5,15
203,baseline,5,15
204,baseline,5,35
205,baseline,5,20
206,baseline,5,40
207,baseline,5,20
208,baseline,5,40
209,baseline,5,30
210,baseline,5,15
211,baseline,5,15
212,baseline,5,35
213,baseline,5,15
214,baseline,5,15
215,baseline,5,15
216,baseline,5,15
217,baseline,5,15
218,baseline,5,20
219,baseline,5,25
220,baseline,5,15
221,baseline,5,40
222,baseline,5,35
223,baseline,5,35
224,baseline,5,15
225,baseline,5,40
226,baseline,5,35
227,baseline,5,40
228,baseline,5,15
229,baseline,5,15
230,baseline,5,30
231,baseline,5,15
232,baseline,5,15
233,baseline,5,40
234,baseline,5,35
