windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,30
2,adaptation,5,30
3,adaptation,5,15
4,adaptation,5,30
5,adaptation,5,30
6,adaptation,5,30
7,adaptation,5,20
8,adaptation,5,15
9,adaptation,5,40
10,adaptation,5,35
11,adaptation,5,25
12,adaptation,5,25
13,adaptation,5,25
14,adaptation,5,25
15,adaptation,5,15
16,adaptation,5,20
17,adaptation,5,20
18,adaptation,5,20
19,adaptation,5,30
20,adaptation,5,40
21,adaptation,5,25
22,adaptation,5,35
23,adaptation,5,25
24,adaptation,5,30
25,adaptation,5,35
26,adaptation,5,20
27,adaptation,5,15
28,adaptation,5,30
29,adaptation,5,20
30,adaptation,5,20
31,adaptation,5,30
32,adaptation,5,15
33,adaptation,5,20
34,adaptation,5,15
35,adaptation,5,15
36,adaptation,5,15
37,adaptation,5,40
38,adaptation,5,15
39,adaptation,5,20
40,adaptation,5,15
41,adaptation,5,30
42,adaptation,5,35
43,adaptation,5,25
44,adaptation,5,30
45,adaptation,5,25
46,adaptation,5,35
47,adaptation,5,20
48,adaptation,5,20
49,adaptation,5,25
50,adaptation,5,20
51,adaptation,5,20
52,adaptation,5,35
53,adaptation,5,20
54,adaptation,5,20
55,adaptation,5,20
56,adaptation,5,30
57,adaptation,5,40
58,adaptation,5,20
59,adaptation,5,20
60,adaptation,5,20
61,adaptation,5,15
62,adaptation,5,25
63,adaptation,5,20
64,adaptation,5,15
65,adaptation,5,35
66,adaptation,5,15
67,adaptation,5,15
68,adaptation,5,15
69,adaptation,5,15
70,adaptation,5,20
71,adaptation,5,40
72,adaptation,5,35
73,adaptation,5,25
74,adaptation,5,15
75,adaptation,5,15
76,adaptation,5,25
77,adaptation,5,25
78,adaptation,5,15
79,adaptation,5,15
80,adaptation,5,30
81,adaptation,5,15
82,adaptation,5,15
83,adaptation,5,15
84,adaptation,5,30
85,adaptation,5,30
86,adaptation,5,15
87,adaptation,5,15
88,adaptation,5,15
89,adaptation,5,20
90,adaptation,5,35
91,adaptation,5,25
92,adaptation,5,30
93,adaptation,5,30
94,adaptation,5,30
95,adaptation,5,20
96,adaptation,5,35
97,adaptation,5,15
98,adaptation,5,15
99,adaptation,5,35
100,adaptation,5,20
101,adaptation,5,15
102,adaptation,5,35
103,adaptation,5,15
104,adaptation,5,35
105,adaptation,5,15
106,adaptation,5,15
107,adaptation,5,20
108,adaptation,5,15
109,adaptation,5,35
110,adaptation,5,20
111,adaptation,5,20
112,adaptation,5,35
113,adaptation,5,20
114,adaptation,5,20
115,adaptation,5,20
116,adaptation,5,20
117,adaptation,5,15
118,adaptation,5,15
119,adaptation,5,15
120,adaptation,5,25
121,adaptation,5,40
122,adaptation,5,40
123,adaptation,5,20
124,adaptation,5,15
125,adaptation,5,15
126,adaptation,5,20
127,adaptation,5,15
128,adaptation,5,30
129,adaptation,5,15
130,adaptation,5,15
131,adaptation,5,20
132,adaptation,5,35
133,adaptation,5,35
134,adaptation,5,30
135,adaptation,5,15
136,adaptation,5,30
137,adaptation,5,25
138,adaptation,5,15
139,adaptation,5,25
140,adaptation,5,15
141,adaptation,5,15
142,adaptation,5,35
143,adaptation,5,15
144,adaptation,5,15
145,adaptation,5,30
146,adaptation,5,25
147,adaptation,5,30
148,adaptation,5,30
149,adaptation,5,15
150,adaptation,5,15
151,adaptation,5,15
152,adaptation,5,15
153,baseline,5,15
154,baseline,5,15
155,baseline,5,25
156,baseline,5,30
157,baseline,5,40
158,baseline,5,15
159,baseline,5,25
160,baseline,5,15
161,baseline,5,15
162,baseline,5,20
163,baseline,5,15
164,baseline,5,25
165,baseline,5,20
166,baseline,5,15
167,baseline,5,35
168,baseline,5,15
169,baseline,5,40
170,baseline,5,20
171,baseline,5,40
172,baseline,5,15
173,baseline,5,15
174,baseline,5,20
175,baseline,5,15
176,baseline,5,20
177,baseline,5,15
178,baseline,5,20
179,baseline,5,35
180,baseline,5,15
181,baseline,5,15
182,baseline,5,15
183,baseline,5,20
184,baseline,5,15
185,baseline,5,20
186,baseline,5,40
187,baseline,5,25
188,baseline,5,35
189,baseline,5,15
190,baseline,5,20
191,baseline,5,35
192,baseline,5,25
193,baseline,5,25
194,baseline,5,35
195,baseline,5,35
196,baseline,5,15
197,baseline,5,15
198,baseline,5,20
199,baseline,5,20
200,baseline,5,40
201,baseline,5,20
202,baseline,5,15
203,baseline,5,15
204,baseline,5,20
205,baseline,5,25
206,baseline,5,20
207,baseline,5,20
208,baseline,5,25
209,baseline,5,20
210,baseline,5,40
211,baseline,5,20
212,baseline,5,25
213,baseline,5,25
214,baseline,5,20
215,baseline,5,15
216,baseline,5,15
217,baseline,5,15
218,baseline,5,25
219,baseline,5,35
220,baseline,5,20
221,baseline,5,20
222,baseline,5,35
223,baseline,5,25
224,baseline,5,40
225,baseline,5,15
226,baseline,5,35
227,baseline,5,30
228,baseline,5,35
229,baseline,5,30
230,baseline,5,15
231,baseline,5,40
232,baseline,5,15
233,baseline,5,35
234,baseline,5,20
235,baseline,5,30
236,baseline,5,35
237,baseline,5,20
238,baseline,5,25
239,baseline,5,35
240,baseline,5,20
241,TP_baseline_to_tsst-prep,5,15
242,TP_baseline_to_tsst-prep,5,15
243,TP_baseline_to_tsst-prep,5,20
244,TP_baseline_to_tsst-prep,5,20
245,TP_baseline_to_tsst-prep,5,25
246,TP_baseline_to_tsst-prep,5,15
247,TP_baseline_to_tsst-prep,5,15
248,TP_baseline_to_tsst-prep,5,20
249,TP_baseline_to_tsst-prep,5,40
250,TP_baseline_to_tsst-prep,5,35
251,TP_baseline_to_tsst-prep,5,25
252,TP_baseline_to_tsst-prep,5,15
253,TP_baseline_to_tsst-prep,5,25
254,TP_baseline_to_tsst-prep,5,15
255,TP_baseline_to_tsst-prep,5,15
256,tsst-prep,5,30
257,tsst-prep,5,35
258,tsst-prep,5,35
259,tsst-prep,5,20
260,tsst-prep,5,30
261,tsst-prep,5,20
262,tsst-prep,5,15
263,tsst-prep,5,30
264,tsst-prep,5,20
265,tsst-prep,5,35
266,tsst-prep,5,25
267,tsst-prep,5,15
268,tsst-prep,5,30
269,tsst-prep,5,20
270,tsst-prep,5,15
271,tsst-prep,5,35
272,tsst-prep,5,25
273,tsst-prep,5,35
274,tsst-prep,5,15
275,tsst-prep,5,25
276,tsst-prep,5,15
277,tsst-prep,5,15
278,tsst-prep,5,25
279,tsst-prep,5,30
280,tsst-prep,5,30
281,tsst-prep,5,30
282,tsst-prep,5,15
283,tsst-prep,5,15
284,tsst-prep,5,20
285,tsst-prep,5,15
286,tsst-prep,5,30
287,tsst-prep,5,30
288,tsst-prep,5,20
289,tsst-prep,5,15
290,tsst-prep,5,20
291,tsst-prep,5,20
292,tsst-prep,5,15
293,tsst-prep,5,25
294,tsst-prep,5,35
295,tsst-prep,5,15
296,tsst-prep,5,35
297,tsst-prep,5,25
298,tsst-prep,5,15
299,tsst-prep,5,25
300,tsst-prep,5,30
301,tsst-prep,5,35
302,tsst-prep,5,20
303,tsst-prep,5,15
304,tsst-prep,5,35
305,tsst-prep,5,15
306,tsst-prep,5,40
307,tsst-prep,5,30
308,tsst-prep,5,20
309,tsst-prep,5,30
310,tsst-prep,5,20
311,tsst-prep,5,20
312,tsst-prep,5,25
313,tsst-prep,5,30
314,tsst-prep,5,20
315,tsst-prep,5,35
316,tsst-prep,5,15
317,tsst-prep,5,15
318,tsst-prep,5,35
319,tsst-prep,5,15
320,tsst-prep,5,35
321,tsst-prep,5,35
322,tsst-prep,5,40
323,tsst-prep,5,15
324,tsst-prep,5,25
325,tsst-prep,5,15
326,tsst-prep,5,25
327,tsst-prep,5,35
328,tsst-prep,5,30
329,tsst-prep,5,20
330,tsst-prep,5,25
331,tsst-prep,5,25
332,tsst-prep,5,20
333,tsst-prep,5,30
334,tsst-prep,5,20
335,tsst-prep,5,35
336,tsst-prep,5,35
337,tsst-prep,5,20
338,tsst-prep,5,20
339,tsst-prep,5,25
340,tsst-prep,5,25
341,tsst-prep,5,35
342,tsst-prep,5,30
343,tsst-speech,5,40
344,tsst-speech,5,20
345,tsst-speech,5,25
346,tsst-speech,5,20
347,tsst-speech,5,35
348,tsst-speech,5,25
349,tsst-speech,5,35
350,tsst-speech,5,15
351,tsst-speech,5,40
352,tsst-speech,5,15
353,tsst-speech,5,20
354,tsst-speech,5,25
355,tsst-speech,5,20
356,tsst-speech,5,40
357,tsst-speech,5,35
358,tsst-speech,5,20
359,tsst-speech,5,15
360,tsst-speech,5,30
361,tsst-speech,5,15
362,tsst-speech,5,20
363,tsst-speech,5,20
364,tsst-speech,5,25
365,tsst-speech,5,30
366,tsst-speech,5,20
367,tsst-speech,5,20
368,tsst-speech,5,40
369,tsst-speech,5,25
370,tsst-speech,5,30
371,tsst-speech,5,35
372,tsst-speech,5,25
373,tsst-speech,5,30
374,tsst-speech,5,30
375,tsst-speech,5,35
376,tsst-speech,5,30
377,tsst-speech,5,15
378,tsst-speech,5,20
379,tsst-speech,5,20
380,tsst-speech,5,25
381,tsst-speech,5,30
382,tsst-speech,5,20
383,tsst-speech,5,35
384,tsst-speech,5,40
385,tsst-speech,5,25
386,tsst-speech,5,15
387,tsst-speech,5,15
388,tsst-speech,5,35
