windowNumber,session,lowCutoff,highCutoff
1,adaptation,5,15
2,adaptation,5,30
3,adaptation,5,15
4,adaptation,5,20
5,adaptation,5,15
6,adaptation,5,20
7,adaptation,5,20
8,adaptation,5,20
9,adaptation,5,15
10,adaptation,5,15
11,adaptation,5,30
12,adaptation,5,15
13,adaptation,5,40
14,adaptation,5,20
15,adaptation,5,20
16,adaptation,5,20
17,adaptation,5,40
18,adaptation,5,20
19,adaptation,5,30
20,adaptation,5,15
21,adaptation,5,35
22,adaptation,5,15
23,adaptation,5,20
24,adaptation,5,40
25,adaptation,5,15
26,adaptation,5,15
27,adaptation,5,15
28,adaptation,5,15
29,adaptation,5,30
30,adaptation,5,35
31,adaptation,5,40
32,adaptation,5,15
33,adaptation,5,15
34,adaptation,5,25
35,adaptation,5,15
36,adaptation,5,20
37,adaptation,5,15
38,adaptation,5,30
39,adaptation,5,15
40,adaptation,5,25
41,adaptation,5,40
42,adaptation,5,20
43,adaptation,5,20
44,adaptation,5,25
45,adaptation,5,25
46,adaptation,5,15
47,adaptation,5,15
48,adaptation,5,25
49,adaptation,5,35
50,adaptation,5,25
51,adaptation,5,30
52,adaptation,5,25
53,adaptation,5,30
54,adaptation,5,15
55,adaptation,5,30
56,adaptation,5,15
57,adaptation,5,15
58,adaptation,5,20
59,adaptation,5,15
60,adaptation,5,40
61,adaptation,5,25
62,adaptation,5,25
63,adaptation,5,15
64,adaptation,5,15
65,adaptation,5,25
66,adaptation,5,20
67,adaptation,5,30
68,adaptation,5,25
69,adaptation,5,25
70,adaptation,5,30
71,adaptation,5,20
72,adaptation,5,15
73,adaptation,5,30
74,adaptation,5,15
75,adaptation,5,15
76,adaptation,5,25
77,adaptation,5,15
78,adaptation,5,20
79,adaptation,5,35
80,adaptation,5,20
81,adaptation,5,15
82,adaptation,5,15
83,adaptation,5,15
84,adaptation,5,15
85,adaptation,5,35
86,adaptation,5,35
87,adaptation,5,15
88,adaptation,5,15
89,adaptation,5,15
90,adaptation,5,25
91,adaptation,5,15
92,adaptation,5,15
93,adaptation,5,30
94,adaptation,5,15
95,adaptation,5,30
96,adaptation,5,40
97,adaptation,5,30
98,adaptation,5,30
99,adaptation,5,30
100,adaptation,5,40
101,adaptation,5,30
102,adaptation,5,25
103,adaptation,5,15
104,adaptation,5,40
105,adaptation,5,20
106,adaptation,5,30
107,adaptation,5,25
108,adaptation,5,20
109,adaptation,5,15
110,adaptation,5,15
111,adaptation,5,25
112,adaptation,5,15
113,adaptation,5,15
114,adaptation,5,15
115,adaptation,5,15
116,adaptation,5,35
